date,안랩,써니전자,다믈멀티미디어,포비스티앤씨,오픈베이스
2017-03-10,29,0,0,0,0
2017-03-11,0,0,0,0,0
2017-03-12,0,0,0,0,0
2017-03-13,22,0,0,0,0
2017-03-14,0,0,0,0,0
2017-03-15,24,0,0,0,0
2017-03-16,25,0,0,0,0
2017-03-17,21,0,0,0,0
2017-03-18,0,0,0,0,0
2017-03-19,24,0,0,0,0
2017-03-20,30,0,0,0,0
2017-03-21,25,0,0,0,0
2017-03-22,36,0,0,0,0
2017-03-23,51,0,0,0,0
2017-03-24,27,0,0,0,0
2017-03-25,0,0,0,0,0
2017-03-26,0,0,0,0,0
2017-03-27,48,0,0,0,0
2017-03-28,72,0,0,0,0
2017-03-29,63,17,0,0,0
2017-03-30,56,0,0,0,0
2017-03-31,57,0,0,0,0
2017-04-01,0,0,0,0,0
2017-04-02,23,0,0,0,0
2017-04-03,85,0,0,0,0
2017-04-04,77,0,0,0,0
2017-04-05,66,20,0,0,0
2017-04-06,79,19,0,0,0
2017-04-07,88,0,0,0,0
2017-04-08,24,0,0,0,0
2017-04-09,34,0,0,0,0
2017-04-10,76,0,0,0,0
2017-04-11,81,0,0,0,0
2017-04-12,77,0,0,0,0
2017-04-13,90,0,0,0,0
2017-04-14,100,21,0,0,0
2017-04-15,42,0,0,0,0
2017-04-16,19,0,0,0,0
2017-04-17,83,0,0,0,0
2017-04-18,99,0,0,0,0
2017-04-19,53,0,0,0,0
2017-04-20,72,0,0,0,0
2017-04-21,73,18,0,0,0
2017-04-22,0,0,0,0,19
2017-04-23,20,0,0,0,0
2017-04-24,80,0,0,0,0
2017-04-25,82,0,0,0,0
2017-04-26,70,0,0,0,0
2017-04-27,63,0,0,0,23
2017-04-28,69,0,0,0,0
2017-04-29,0,0,0,0,0
2017-04-30,0,0,0,0,0
2017-05-01,27,0,0,0,0
2017-05-02,61,0,0,0,0
2017-05-03,0,0,0,0,0
2017-05-04,51,0,0,0,0
2017-05-05,0,0,0,0,0
2017-05-06,0,0,0,0,0
2017-05-07,0,0,0,0,0
2017-05-08,65,0,0,0,0
2017-05-09,22,0,0,0,0
2017-05-10,59,0,0,0,0
2017-05-11,41,0,0,0,0
2017-05-12,35,0,0,0,0
2017-05-13,0,0,0,0,0
2017-05-14,45,0,0,0,0
2017-05-15,78,0,0,0,0
2017-05-16,70,0,0,0,0
2017-05-17,45,0,0,0,0
