date,NE능률,서연,삼부토건,노루홀딩스,신원종합개발
2021-07-12,0,51,64,0,0
2021-07-13,0,61,0,0,0
2021-07-14,0,0,46,0,0
2021-07-15,0,55,0,0,0
2021-07-16,0,0,0,0,0
2021-07-17,0,42,0,0,0
2021-07-18,0,44,41,0,0
2021-07-19,0,43,97,0,0
2021-07-20,0,52,54,0,0
2021-07-21,0,37,0,0,0
2021-07-22,0,38,0,0,0
2021-07-23,0,52,0,0,0
2021-07-24,0,0,0,0,0
2021-07-25,0,0,0,0,0
2021-07-26,0,39,53,0,0
2021-07-27,0,39,0,0,0
2021-07-28,0,56,0,0,0
2021-07-29,0,37,0,0,0
2021-07-30,0,38,0,0,0
2021-07-31,0,0,0,0,0
2021-08-01,0,46,0,0,0
2021-08-02,0,0,0,0,0
2021-08-03,0,45,0,0,0
2021-08-04,0,45,0,0,0
2021-08-05,0,76,0,0,0
2021-08-06,0,0,0,0,0
2021-08-07,0,0,0,0,0
2021-08-08,0,55,0,0,0
2021-08-09,0,0,0,0,0
2021-08-10,0,56,0,0,0
2021-08-11,0,0,0,0,0
2021-08-12,0,48,0,0,0
2021-08-13,0,46,0,0,0
2021-08-14,0,0,0,0,0
2021-08-15,0,0,0,0,0
2021-08-16,0,0,0,0,0
2021-08-17,0,49,0,0,0
2021-08-18,0,45,0,0,0
2021-08-19,0,0,0,0,0
2021-08-20,0,53,0,0,0
2021-08-21,0,0,0,0,0
2021-08-22,0,0,0,0,0
2021-08-23,0,43,0,0,0
2021-08-24,0,0,0,0,0
2021-08-25,0,40,0,0,0
2021-08-26,0,37,0,0,0
2021-08-27,0,0,0,0,0
2021-08-28,0,0,0,0,0
2021-08-29,0,59,0,0,0
2021-08-30,0,0,43,0,0
2021-08-31,0,48,0,0,0
2021-09-01,0,50,0,0,0
2021-09-02,0,0,0,0,0
2021-09-03,0,0,0,0,0
2021-09-04,0,0,0,0,0
2021-09-05,0,0,0,0,0
2021-09-06,0,0,36,0,0
2021-09-07,0,53,0,0,0
2021-09-08,0,0,0,0,0
2021-09-09,0,46,0,0,0
2021-09-10,0,47,0,0,0
2021-09-11,0,0,0,0,0
2021-09-12,0,0,0,0,0
2021-09-13,0,0,0,0,0
2021-09-14,0,50,0,0,0
2021-09-15,0,52,0,0,0
2021-09-16,0,0,0,0,0
2021-09-17,0,0,0,0,0
2021-09-18,0,0,0,0,0
2021-09-19,0,67,0,0,0
2021-09-20,0,0,0,0,0
2021-09-21,0,0,0,0,0
2021-09-22,0,56,0,0,0
2021-09-23,0,41,0,0,0
2021-09-24,0,44,0,0,0
2021-09-25,0,0,0,0,0
2021-09-26,0,47,0,0,0
2021-09-27,0,66,38,0,0
2021-09-28,0,0,40,0,0
2021-09-29,0,41,0,0,0
2021-09-30,0,0,0,0,0
2021-10-01,0,42,0,0,0
2021-10-02,57,0,0,0,0
2021-10-03,0,56,0,0,0
2021-10-04,0,45,49,0,0
2021-10-05,0,51,0,0,0
2021-10-06,0,0,0,0,0
2021-10-07,0,62,0,0,0
2021-10-08,0,0,0,0,0
2021-10-09,0,0,0,0,0
2021-10-10,0,68,0,0,0
2021-10-11,0,50,0,0,0
2021-10-12,0,44,0,0,0
2021-10-13,0,54,0,0,0
2021-10-14,0,47,0,0,0
2021-10-15,0,0,0,0,0
2021-10-16,0,48,0,0,0
2021-10-17,0,0,0,0,0
2021-10-18,0,44,0,0,0
2021-10-19,0,0,0,0,0
2021-10-20,0,58,0,0,0
2021-10-21,0,60,0,0,0
2021-10-22,0,57,0,0,0
2021-10-23,0,69,0,0,0
