날짜,제목,닉네임,종목코드,게시글내용,댓글,조회수,공감,비공감,URL
2025.06.25 16:56,스마트폰으로 하루종일 게임하냐?,holy****,005930,"어차피 게임용도 아닌데 휴대폰 쓰는데 그 츠이가 얼마나 난다고,,,

모지란 놈이 아는척 하긴,,,",,16,0,0,https://finance.naver.com/item/board_read.naver?code=005930&nid=305089589&st=&sw=&page=5
2025.06.25 16:48,해수부는 부산.인천.,two9****,005930,"두 항구도시중에 한곳.즉 부산에 자리잡고..
새로운 길 개척하자.

왜 해수부가 내륙도시 세종시에 앉아서..

공무원들만 편안하게 살게 했나?

(부산 시골로 가기 싫은 복지부동 해수부 공무원들이.. 갖가지 충청지역감정 조장해서.. 비난여론 일으키고 있다)",,67,5,0,https://finance.naver.com/item/board_read.naver?code=005930&nid=305089071&st=&sw=&page=5
2025.06.25 16:46,멧돼지 체포되면,flag****,005930,"주가 오른다

저번 체포때도 그랫음",,74,10,1,https://finance.naver.com/item/board_read.naver?code=005930&nid=305089006&st=&sw=&page=5
2025.06.25 16:46,[속보]조은석 특별검사 차기 대통령후보 부상!!,look****,005930,"조은석특검, 윤석열 체포구속영장 전격

신청 아후


호남에서 민심 변화",,80,1,0,https://finance.naver.com/item/board_read.naver?code=005930&nid=305089000&st=&sw=&page=5
2025.06.25 16:46,삼성전자의 HMB4는 과연,jihy****,005930,"잘되고 있을까요?
잘되고 있다고 믿는 사람들이 있나?
삼성도 조만간 노키아, 인텔꼴 난다.",,130,0,0,https://finance.naver.com/item/board_read.naver?code=005930&nid=305088966&st=&sw=&page=5
2025.06.25 16:45,이재명 청렴한건 윤석렬이 증명시켜줬고,sk******,005930,"김민석 청렴한건 주진우가 증명시켜주더라

욕봤다 진우야 ㅋㅋㅋㅋㅋㅋㅋㅋ",크 다크나이트 주진우!!,58,12,1,https://finance.naver.com/item/board_read.naver?code=005930&nid=305088929&st=&sw=&page=5
2025.06.25 16:44,"★ 윤석렬,건희양도 25만원 받냐??",audv****,005930,내란범은 제외 시켜야 하는거 아니냐,어차피 내란으로 인해 재산 몰수할꺼니깐줬다가 뺏는거도 괜찮을듯하지 않나요? ㅋㅋㅋㅋ 명신이 명품이랑 주가조작으로 재산 몰수 확정인데 ㅋ | ㅋㅋㅋㅋㅋ 2찍들 거지들 많자나 | 우리 2찍 내란 좀비들은 어떻게? 받을겨? 자존심은 엿 바꿔 먹은지 오래죠?,56,3,2,https://finance.naver.com/item/board_read.naver?code=005930&nid=305088888&st=&sw=&page=5
2025.06.25 16:44,윤석열 가게무샤,dr******,005930,김정은 내세우면 되는거 아님 ? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,47,6,0,https://finance.naver.com/item/board_read.naver?code=005930&nid=305088879&st=&sw=&page=5
2025.06.25 16:44,드디어 삼전 상승랠리 시작,csh5****,005930,"다른주식 오를때 하락하던 삼전이
어제부터 상승랠리를 시작하였습니다
8만원까지는 무난하게 갈거라 예상됩니다
그이후는 횡보장이 될거 같아요
내촉인데 적중률 80퍼센트입니다",,183,6,0,https://finance.naver.com/item/board_read.naver?code=005930&nid=305088850&st=&sw=&page=5
2025.06.25 16:43,윤석렬 체포,sk******,005930,초읽기 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,기대되요!,91,7,0,https://finance.naver.com/item/board_read.naver?code=005930&nid=305088830&st=&sw=&page=5
