stock_name,stock_code,article_date,article_title,article_nickname,article_content,article_comments,article_viewers,article_likes,article_dislikes,article_url,vote_election,vote_candidate,vote_category,vote_start_date,vote_end_date
PN풍년,024940,2025-06-09,이재명 18일 재판한다매여,blue****,그거땜시 다시 8천원 갈듯,동현이 어디갔어?? || 안한다네.. 독재시작 || 독재한대 ㅋㅋㅋㅋㅋ,1658,3,1,https://finance.naver.com/item/board_read.naver?code=024940&nid=303894523&st=&sw=&page=1,21대,김동연,인맥주,2025-03-28,2025-06-10
PN풍년,024940,2025-06-06,신용낮아졌고 외인매집,ko******,"이유가 있음.
조만간 불기둥",,1586,3,1,https://finance.naver.com/item/board_read.naver?code=024940&nid=303851781&st=&sw=&page=1,21대,김동연,인맥주,2025-03-28,2025-06-10
PN풍년,024940,2025-06-06,김경수 ㅡ행안부장관유력,yimw****,"현시점에 전국 지방제도를 관할하는 정부요직인 행안부장관에
김경수 유력
앞으로의 행보에 , 전국지방자치단체와 지방의 모든 구석구석을 파악하는 앞으로의
비단길을 가기위한 초석을...",,1081,3,2,https://finance.naver.com/item/board_read.naver?code=024940&nid=303846103&st=&sw=&page=1,21대,김동연,인맥주,2025-03-28,2025-06-10
PN풍년,024940,2025-06-05,김민석,ryon****,"김민석 관련주 아시는분 댓글 남겨주

시면 감사하겠습니다 ~ㅎㅎ","차기대선 후보가 민주당 현역 의원들로주목..김민석.정청래, 김민석 거기다 조국 까지.. 김동연 존재감 빵점 || ybm넷..하바드 동문",1155,2,4,https://finance.naver.com/item/board_read.naver?code=024940&nid=303812910&st=&sw=&page=1,21대,김동연,인맥주,2025-03-28,2025-06-10
PN풍년,024940,2025-06-04,ㅋㅋㅋㅋㅋㅋㅋㅋ 비추 엄청 먹어었네,park****,"장 초반에 탈출 못한 놈 없지?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",탈출함,990,2,1,https://finance.naver.com/item/board_read.naver?code=024940&nid=303715173&st=&sw=&page=1,21대,김동연,인맥주,2025-03-28,2025-06-10
PN풍년,024940,2025-06-04,국무총리에 김민석 확정,plea****,ㅡㅡ학,,1105,2,0,https://finance.naver.com/item/board_read.naver?code=024940&nid=303689349&st=&sw=&page=1,21대,김동연,인맥주,2025-03-28,2025-06-10
PN풍년,024940,2025-06-03,"이재명""이른 시일안에 빠르게 조국 대표를 다시 보기를 희망한다""",mwtg****,"이재명 ""조국 빈자리 크다...""이른 시일 안에 빠르게 조국 대표를 다시 보기를 희망한다""

더불어민주당 이재명 대표가 18일 조국혁신당 조국 전 대표의 수감에 대해 ""빈자리가 큰 것 같다""며 ""이른 시일 안에 빠르게 조 대표를 다시 보기를 희망한다""고 입장을 표했다.

이 대표는 이날 국회에서 조국혁신당 김선민 대표 권한대행과 만나 ""지금 현장에는 없지만 그래도 조국혁신당에는 언제나 '조국'이 있지 않냐""며 이같이 말했다",,783,2,3,https://finance.naver.com/item/board_read.naver?code=024940&nid=303662983&st=&sw=&page=1,21대,김동연,인맥주,2025-03-28,2025-06-10
PN풍년,024940,2025-06-02,아직 경기지사 하능겨?,na00****,그만 두었음 2년 기다리고,,682,1,0,https://finance.naver.com/item/board_read.naver?code=024940&nid=303652153&st=&sw=&page=1,21대,김동연,인맥주,2025-03-28,2025-06-10
PN풍년,024940,2025-06-02,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아놔,navy****,"ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ


쭉 빼라 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",,495,1,0,https://finance.naver.com/item/board_read.naver?code=024940&nid=303632129&st=&sw=&page=1,21대,김동연,인맥주,2025-03-28,2025-06-10
PN풍년,024940,2025-06-02,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아놔,sang****,"혼자 가 너 주식같고 있어
씨알되기 었는사람 좋은
글좀 올려봐",,415,0,0,https://finance.naver.com/item/board_read.naver?code=024940&nid=303633511&st=&sw=&page=1,21대,김동연,인맥주,2025-03-28,2025-06-10
PN풍년,024940,2025-06-09,이재명 18일 재판한다매여,blue****,그거땜시 다시 8천원 갈듯,동현이 어디갔어?? || 안한다네.. 독재시작 || 독재한대 ㅋㅋㅋㅋㅋ,1658,3,1,https://finance.naver.com/item/board_read.naver?code=024940&nid=303894523&st=&sw=&page=1,21대,김동연,인맥주,2025-03-28,2025-06-10
PN풍년,024940,2025-06-06,신용낮아졌고 외인매집,ko******,"이유가 있음.
조만간 불기둥",,1586,3,1,https://finance.naver.com/item/board_read.naver?code=024940&nid=303851781&st=&sw=&page=1,21대,김동연,인맥주,2025-03-28,2025-06-10
PN풍년,024940,2025-06-06,김경수 ㅡ행안부장관유력,yimw****,"현시점에 전국 지방제도를 관할하는 정부요직인 행안부장관에
김경수 유력
앞으로의 행보에 , 전국지방자치단체와 지방의 모든 구석구석을 파악하는 앞으로의
비단길을 가기위한 초석을...",,1081,3,2,https://finance.naver.com/item/board_read.naver?code=024940&nid=303846103&st=&sw=&page=1,21대,김동연,인맥주,2025-03-28,2025-06-10
PN풍년,024940,2025-06-05,김민석,ryon****,"김민석 관련주 아시는분 댓글 남겨주

시면 감사하겠습니다 ~ㅎㅎ","차기대선 후보가 민주당 현역 의원들로주목..김민석.정청래, 김민석 거기다 조국 까지.. 김동연 존재감 빵점 || ybm넷..하바드 동문",1155,2,4,https://finance.naver.com/item/board_read.naver?code=024940&nid=303812910&st=&sw=&page=1,21대,김동연,인맥주,2025-03-28,2025-06-10
PN풍년,024940,2025-06-04,ㅋㅋㅋㅋㅋㅋㅋㅋ 비추 엄청 먹어었네,park****,"장 초반에 탈출 못한 놈 없지?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",탈출함,990,2,1,https://finance.naver.com/item/board_read.naver?code=024940&nid=303715173&st=&sw=&page=1,21대,김동연,인맥주,2025-03-28,2025-06-10
PN풍년,024940,2025-06-04,국무총리에 김민석 확정,plea****,ㅡㅡ학,,1105,2,0,https://finance.naver.com/item/board_read.naver?code=024940&nid=303689349&st=&sw=&page=1,21대,김동연,인맥주,2025-03-28,2025-06-10
PN풍년,024940,2025-06-03,"이재명""이른 시일안에 빠르게 조국 대표를 다시 보기를 희망한다""",mwtg****,"이재명 ""조국 빈자리 크다...""이른 시일 안에 빠르게 조국 대표를 다시 보기를 희망한다""

더불어민주당 이재명 대표가 18일 조국혁신당 조국 전 대표의 수감에 대해 ""빈자리가 큰 것 같다""며 ""이른 시일 안에 빠르게 조 대표를 다시 보기를 희망한다""고 입장을 표했다.

이 대표는 이날 국회에서 조국혁신당 김선민 대표 권한대행과 만나 ""지금 현장에는 없지만 그래도 조국혁신당에는 언제나 '조국'이 있지 않냐""며 이같이 말했다",,783,2,3,https://finance.naver.com/item/board_read.naver?code=024940&nid=303662983&st=&sw=&page=1,21대,김동연,인맥주,2025-03-28,2025-06-10
PN풍년,024940,2025-06-02,아직 경기지사 하능겨?,na00****,그만 두었음 2년 기다리고,,682,1,0,https://finance.naver.com/item/board_read.naver?code=024940&nid=303652153&st=&sw=&page=1,21대,김동연,인맥주,2025-03-28,2025-06-10
PN풍년,024940,2025-06-02,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아놔,navy****,"ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ


쭉 빼라 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",,495,1,0,https://finance.naver.com/item/board_read.naver?code=024940&nid=303632129&st=&sw=&page=1,21대,김동연,인맥주,2025-03-28,2025-06-10
PN풍년,024940,2025-06-02,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아놔,sang****,"혼자 가 너 주식같고 있어
씨알되기 었는사람 좋은
글좀 올려봐",,415,0,0,https://finance.naver.com/item/board_read.naver?code=024940&nid=303633511&st=&sw=&page=1,21대,김동연,인맥주,2025-03-28,2025-06-10
PN풍년,024940,2025-06-02,수요일에 탈출해야지,park****,이제 본전이다 ㅠㅠ,,263,0,5,https://finance.naver.com/item/board_read.naver?code=024940&nid=303629873&st=&sw=&page=2,21대,김동연,인맥주,2025-03-28,2025-06-10
PN풍년,024940,2025-06-02,국무총리,plea****,"김동연

조만간 한번 치겠네ㅎ

빠져도 너무 빠졌다",,267,7,3,https://finance.naver.com/item/board_read.naver?code=024940&nid=303627627&st=&sw=&page=2,21대,김동연,인맥주,2025-03-28,2025-06-10
PN풍년,024940,2025-06-02,트럼프 정부 대비해서는 김동연이 국무총리하는게 맞음.,bb******,"이미 이전에 업무 진행한적 있어, 누가 하더라도 김동연보다 잘할 인물은 없긴함.",가즈아,352,9,2,https://finance.naver.com/item/board_read.naver?code=024940&nid=303627274&st=&sw=&page=2,21대,김동연,인맥주,2025-03-28,2025-06-10
PN풍년,024940,2025-06-02,국영지앰엔 김경수도 갑시다,a198****,국영지앰엔,김경수가 유세지원했던 지역들 완전 선방이네..,207,0,0,https://finance.naver.com/item/board_read.naver?code=024940&nid=303626726&st=&sw=&page=2,21대,김동연,인맥주,2025-03-28,2025-06-10
PN풍년,024940,2025-05-30,재명이는죄명이라죄명이측근에 착하늠을 둬서 조를 희서시켜야하지,pkst****,알어서들혀돈놓고 돈먹기야동연이표도 땡겨야 죄명이가 대통된다,,608,3,1,https://finance.naver.com/item/board_read.naver?code=024940&nid=303561297&st=&sw=&page=2,21대,김동연,인맥주,2025-03-28,2025-06-10
PN풍년,024940,2025-05-30,이제 부터,navy****,"저가에 모아서 계속 모아가자 ㅋㅋㅋㅋㅋ

외인들 지분 상장이례 보유량 최고네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",그래 한 4년 썩혀놔라,881,4,1,https://finance.naver.com/item/board_read.naver?code=024940&nid=303514940&st=&sw=&page=2,21대,김동연,인맥주,2025-03-28,2025-06-10
PN풍년,024940,2025-05-30,지금부터,chon****,사알살 쟁여둬야는디 ~~,,752,4,0,https://finance.naver.com/item/board_read.naver?code=024940&nid=303511757&st=&sw=&page=2,21대,김동연,인맥주,2025-03-28,2025-06-10
PN풍년,024940,2025-05-29,혹시,navy****,"총리 되는거 아니가?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ


그리고 당권 잡고 ㅋㅋㅋ

차기 대선후보 유력 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ

좋으데 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",진짜 ㅇ무식한 ㅇ이네,882,3,0,https://finance.naver.com/item/board_read.naver?code=024940&nid=303447203&st=&sw=&page=2,21대,김동연,인맥주,2025-03-28,2025-06-10
PN풍년,024940,2025-05-29,이건 그냥,plea****,"빠지면 조금씩 저축해놔라ㅋㅋ

두배는 무조건 먹는다

기다리기가 힘들어서 글치ㅋ",,849,4,0,https://finance.naver.com/item/board_read.naver?code=024940&nid=303413607&st=&sw=&page=2,21대,김동연,인맥주,2025-03-28,2025-06-10
PN풍년,024940,2025-05-28,<수상하다 수상해,ming****,"민주당 토론할 때도 화기애애하고,,
분명 이죄명이는 실무 경험 풍부한 사람을 원할테고,,
계파색 강한 애들은 눈엣가시일테고,,
경수는 경험부족에 너무 젊고,,
어디보자 누가 있노,,

현재로서는 진짜 깜깜이인데...
흐르는 물이 한 곳으로 흐르네..
게다가 땡땡과 땡땡이 아주 완벽한데...
<이건 비법이라 설명 안해줌>

암튼 더 경쟁할만한 총리 후보있으면 한 번 읊어보소들.
공유합시다.",,643,4,0,https://finance.naver.com/item/board_read.naver?code=024940&nid=303400511&st=&sw=&page=2,21대,김동연,인맥주,2025-03-28,2025-06-10
PN풍년,024940,2025-05-28,3자에,plea****,물타자,,247,1,1,https://finance.naver.com/item/board_read.naver?code=024940&nid=303357169&st=&sw=&page=2,21대,김동연,인맥주,2025-03-28,2025-06-10
PN풍년,024940,2025-05-28,선거끝나면 당권싸움,djra****,ㅇㅇ,,291,2,0,https://finance.naver.com/item/board_read.naver?code=024940&nid=303334820&st=&sw=&page=2,21대,김동연,인맥주,2025-03-28,2025-06-10
