stock_name,stock_code,article_date,article_title,article_nickname,article_content,article_comments,article_viewers,article_likes,article_dislikes,article_url,vote_election,vote_candidate,vote_category,vote_start_date,vote_end_date
진양산업,003780,2025-06-10,사기당했다미친종목이다,ou******,내돈돌려내,☠️☠️☠️ || ㄹㅇ,271,1,1,https://finance.naver.com/item/board_read.naver?code=003780&nid=303991536&st=&sw=&page=5,21대,오세훈,인맥주,2025-03-28,2025-06-10
진양산업,003780,2025-06-09,원상회복 1만원대로 쳐 올려라..,unid****,"-산업/폴리/화학 3놈중 주당배당금액, 주당순이익 EPS, 역대주가 최고점 등에 있어서

그룹 최초 상장사이며 코스닥 잡주가 아닌 코스피 우량주인 맏형 진양산업이 단연 가장 우수.

-즉, 진양그룹중 으뜸은... 진양산업

-돌때가리가 아닌 이상 금융감독원 전자공시시스템에 들어 가보면 3놈의 상태를 상세히 다 알 수 있음.

-화학은 적자 투성이 불안해서 아예 제외

-진양산업 4월에 1만원대에서 단 9일만에 5찬원대로 반동가리났다,,,빨리 원상회복 1만원대로 쳐 올려라..

-각자 알아서 판단...",,407,0,6,https://finance.naver.com/item/board_read.naver?code=003780&nid=303910222&st=&sw=&page=5,21대,오세훈,인맥주,2025-03-28,2025-06-10
진양산업,003780,2025-06-09,스레기종목이따로업다,ou******,코스피2900가는데얘는제자리다ㅇ,🦧🦧,423,4,1,https://finance.naver.com/item/board_read.naver?code=003780&nid=303899240&st=&sw=&page=5,21대,오세훈,인맥주,2025-03-28,2025-06-10
진양산업,003780,2025-06-08,명태로 오씨아웃 한씨로 서울시장간디ㅡ,dark****,100%^^,,344,2,2,https://finance.naver.com/item/board_read.naver?code=003780&nid=303887494&st=&sw=&page=5,21대,오세훈,인맥주,2025-03-28,2025-06-10
진양산업,003780,2025-06-08,명태균만 아니면 서울시장은 5선 할거같은데,work****,"이준석, 김문수 합친 수치가 이재명 크게 앞서는 곳이 서울인데. 여기서는 오세훈 나오면 필승이긴함. 김민석이 그나마 대항마인데 총리하는데 후보 선출 감안하면 1년도 안되서 그만둘까",,376,2,2,https://finance.naver.com/item/board_read.naver?code=003780&nid=303884567&st=&sw=&page=5,21대,오세훈,인맥주,2025-03-28,2025-06-10
진양산업,003780,2025-06-07,지금까지외국놈들6프로된적없다,ljy5****,개미들들어오면ㆍ그물치겠다ㆍ기다리고있다ㆍ때를기다리는중ㆍ개미님들ㆍ자중하시기를바랍니다ㆍ지나번에는2프로?어는데ㆍ6프로는이상하다ㆍ결론은ㆍ개미님들무덤만들겠다,오세훈 다음 서울시장 필패는 확정이고 그럼 원래주가인 2000원대 가는거야 정신차려라,515,4,0,https://finance.naver.com/item/board_read.naver?code=003780&nid=303876044&st=&sw=&page=5,21대,오세훈,인맥주,2025-03-28,2025-06-10
진양산업,003780,2025-06-07,현재가치로는6개월항보할때,ljy5****,앞으로ㆍ실적이ㆍ나쁘지안지만ㆍ그렇다고ㆍ상승할려면9개월힝보하거나ㆍ5프로상승ㆍ5프로하락반복에상,오세훈 다음 서울시장 필패는 확정이고 그럼 원래주가인 2000원대 가는거야 정신차려라,483,1,0,https://finance.naver.com/item/board_read.naver?code=003780&nid=303875234&st=&sw=&page=5,21대,오세훈,인맥주,2025-03-28,2025-06-10
진양산업,003780,2025-06-07,진양팔고대상홀딩스로15%먹었다,dark****,한씨 당대표간다 최소50%쏜다,,251,2,0,https://finance.naver.com/item/board_read.naver?code=003780&nid=303873147&st=&sw=&page=5,21대,오세훈,인맥주,2025-03-28,2025-06-10
진양산업,003780,2025-06-07,답은 한씨 오씨아웃,dark****,한씨 쏜다,,246,0,1,https://finance.naver.com/item/board_read.naver?code=003780&nid=303869948&st=&sw=&page=5,21대,오세훈,인맥주,2025-03-28,2025-06-10
진양산업,003780,2025-06-07,한씨쏜다 당대표,dark****,대상홀딩스,,130,0,1,https://finance.naver.com/item/board_read.naver?code=003780&nid=303869770&st=&sw=&page=5,21대,오세훈,인맥주,2025-03-28,2025-06-10
