stock_name,stock_code,article_date,article_title,article_nickname,article_content,article_comments,article_viewers,article_likes,article_dislikes,article_url,vote_election,vote_candidate,vote_category,vote_start_date,vote_end_date
대상홀딩스우,084695,2025-06-10,"한동훈 ""헌법 84조로 李 재판중단?…'헌법 68조' 어찌 설명하나""",give****,"2025.06.10 04:40
한동훈 전 국민의힘 대표가 이재명 대통령에 대한 재판중지를 결정한 서울고법의 결정에 대해 “헌법상 이재명 대통령 재판은 중단되지 않는다. 헌법적으로도 그렇고, 다수 국민 상식면에서도 그렇다”고 9일 지적했다.",,1209,2,4,https://finance.naver.com/item/board_read.naver?code=084695&nid=303988839&st=&sw=&page=1,21대,한동훈,인맥주,2025-05-03,2025-06-10
대상홀딩스우,084695,2025-06-10,대상홀딩스 양전환,give****,대상홀딩스 양전환 플러스?음,,880,1,1,https://finance.naver.com/item/board_read.naver?code=084695&nid=303988281&st=&sw=&page=1,21대,한동훈,인맥주,2025-05-03,2025-06-10
대상홀딩스우,084695,2025-06-09,"한동훈, 11일 원외 당협 '혁신모임'과 만찬…당 상황 논의 전망",give****,"2025.06.09. 오후 6:55 기사원문
한동훈, '투수회' 멤버들과 만찬 모임 예정
""대선 고생했단 인사와 당 위기 얘기 나올 것""",,928,3,3,https://finance.naver.com/item/board_read.naver?code=084695&nid=303954172&st=&sw=&page=1,21대,한동훈,인맥주,2025-05-03,2025-06-10
대상홀딩스우,084695,2025-06-09,내일부터 정상거래네요~~^^,park****,추카추카~~~,,618,1,1,https://finance.naver.com/item/board_read.naver?code=084695&nid=303945001&st=&sw=&page=1,21대,한동훈,인맥주,2025-05-03,2025-06-10
대상홀딩스우,084695,2025-06-09,쥐포형 단일가는 이제 그만하자,magi****,오늘 주차 이쁘게 해줄거지?,,217,2,1,https://finance.naver.com/item/board_read.naver?code=084695&nid=303931619&st=&sw=&page=1,21대,한동훈,인맥주,2025-05-03,2025-06-10
대상홀딩스우,084695,2025-06-08,"김용태 ""9월 초 전대""…친한 '반색' vs 친윤 '9",give****,"김용태 ""9월 초 전대""…친한 '반색' vs 친윤 '불쾌'
입력2025.06.08. 오후 7:09",,336,1,2,https://finance.naver.com/item/board_read.naver?code=084695&nid=303886719&st=&sw=&page=1,21대,한동훈,인맥주,2025-05-03,2025-06-10
대상홀딩스우,084695,2025-06-08,"2025년 리박스쿨, 언제 적 댓글 공작",give****,"김문수 국민의힘 대선 후보를 띄우고 경쟁 후보들을 비방하는 댓글을 집중적으로 다는 방식으로 불법 여론 조작을 해온 단체 ‘리박스쿨’의 실체가 드러나고 있다.
리박스쿨이 국민의힘, 특히 김문수 후보와 깊은 관계를 맺어온 정황도 드러나고 있다. 리박스쿨은 학부모 단체로 위장해 2025년 5월27일 조정훈 국민의힘 의원의 주선으로 국회에서 기자회견을 열었다. 2019년 리박스쿨이 주관한 선거사무원 전문교육에 ‘김문수TV’가 협력사로 명시됐고, 2020년 리박스쿨이 유튜브에 올린 활동 보고 영상에도 김 후보가 등장한다는 사실 등을 더불어민주당이 공개했다.
민주당은 5월31일 손 대표 등 리박스쿨 관계자들을 공직선거법상 부정선거운동·매수·이해유도, 업무방해 혐의로 경찰에 고발했다. 경찰은 6월4일 손 대표의 주거지와 리박스쿨 사무실을 압수수색했다",,235,0,1,https://finance.naver.com/item/board_read.naver?code=084695&nid=303880770&st=&sw=&page=1,21대,한동훈,인맥주,2025-05-03,2025-06-10
대상홀딩스우,084695,2025-06-08,"[속보] 국민의힘 김용태 비상대책위원장 ""9월 초까지 전당대회 치르도록 준비하겠다""",give****,"[속보] 국민의힘 김용태 비상대책위원장 ""9월 초까지 전당대회 치르도록 준비하겠다""
입력2025.06.08. 오전 10:19",,247,0,0,https://finance.naver.com/item/board_read.naver?code=084695&nid=303880319&st=&sw=&page=1,21대,한동훈,인맥주,2025-05-03,2025-06-10
대상홀딩스우,084695,2025-06-08,"[속보]“이 대통령, 선거법·대북송금 재판 받을지 답하라”…김용태 긴급 기자회견",give****,"2025.06.08. 오전 10:52
김용태 국민의힘 비상대책위원장은 8일 이재명 대통령을 향해 “공직선거법·대북송금 사건과 관련한 재판을 받을 건지 답해달라”고 요구했다.
김 위원장은 이날 국회에서 기자회견을 열고 “이재명 대통령께 공개적으로 질문을 드린다. 대통령은 취임 전 진행돼온 재판을 면제받기 위한 자리가 아닐 것”이라며 이같이 말했다.",,223,0,0,https://finance.naver.com/item/board_read.naver?code=084695&nid=303880239&st=&sw=&page=1,21대,한동훈,인맥주,2025-05-03,2025-06-10
대상홀딩스우,084695,2025-06-06,"한동훈 ""李 대통령과 트럼프 통화 지연 이례적…새 정부 노선 우려""",give****,"한동훈 전 국민의힘 대표는 6일 이재명 대통령과 도널드 트럼프 미국 대통령의 첫 전화통화가 이뤄지지 않은 데 대해 ""'통화 지연' 이상으로, 새 정부의 인선과 노선이 우려된다""고 말했다.
한 전 대표는 이날 오후 자신의 페이스북에 ""윤석열, 문재인, 박근혜 전 대통령이 모두 취임 직후 미 대통령과 즉각 통화한 전례에 비춰볼 때, 이번 사례는 매우 이례적""이라며 이같이 밝혔다.
한 전 대표는 ""영국, 프랑스 등 주요 유럽 국가들의 반응도 뜨뜻미지근하다는 전언이 나온다""며 ""백악관은 이 대통령 당선 직후 이례적으로 '중국의 영향력 우려'를 언급했다. 새 정부의 노선에 대한 의구심을 반영한 것으로 보인다""고 짚었다.",,463,0,0,https://finance.naver.com/item/board_read.naver?code=084695&nid=303861406&st=&sw=&page=1,21대,한동훈,인맥주,2025-05-03,2025-06-10
대상홀딩스우,084695,2025-06-10,"한동훈 ""헌법 84조로 李 재판중단?…'헌법 68조' 어찌 설명하나""",give****,"2025.06.10 04:40
한동훈 전 국민의힘 대표가 이재명 대통령에 대한 재판중지를 결정한 서울고법의 결정에 대해 “헌법상 이재명 대통령 재판은 중단되지 않는다. 헌법적으로도 그렇고, 다수 국민 상식면에서도 그렇다”고 9일 지적했다.",,1209,2,4,https://finance.naver.com/item/board_read.naver?code=084695&nid=303988839&st=&sw=&page=1,21대,한동훈,인맥주,2025-05-03,2025-06-10
대상홀딩스우,084695,2025-06-10,대상홀딩스 양전환,give****,대상홀딩스 양전환 플러스?음,,880,1,1,https://finance.naver.com/item/board_read.naver?code=084695&nid=303988281&st=&sw=&page=1,21대,한동훈,인맥주,2025-05-03,2025-06-10
대상홀딩스우,084695,2025-06-09,"한동훈, 11일 원외 당협 '혁신모임'과 만찬…당 상황 논의 전망",give****,"2025.06.09. 오후 6:55 기사원문
한동훈, '투수회' 멤버들과 만찬 모임 예정
""대선 고생했단 인사와 당 위기 얘기 나올 것""",,928,3,3,https://finance.naver.com/item/board_read.naver?code=084695&nid=303954172&st=&sw=&page=1,21대,한동훈,인맥주,2025-05-03,2025-06-10
대상홀딩스우,084695,2025-06-09,내일부터 정상거래네요~~^^,park****,추카추카~~~,,618,1,1,https://finance.naver.com/item/board_read.naver?code=084695&nid=303945001&st=&sw=&page=1,21대,한동훈,인맥주,2025-05-03,2025-06-10
대상홀딩스우,084695,2025-06-09,쥐포형 단일가는 이제 그만하자,magi****,오늘 주차 이쁘게 해줄거지?,,217,2,1,https://finance.naver.com/item/board_read.naver?code=084695&nid=303931619&st=&sw=&page=1,21대,한동훈,인맥주,2025-05-03,2025-06-10
대상홀딩스우,084695,2025-06-08,"김용태 ""9월 초 전대""…친한 '반색' vs 친윤 '9",give****,"김용태 ""9월 초 전대""…친한 '반색' vs 친윤 '불쾌'
입력2025.06.08. 오후 7:09",,336,1,2,https://finance.naver.com/item/board_read.naver?code=084695&nid=303886719&st=&sw=&page=1,21대,한동훈,인맥주,2025-05-03,2025-06-10
대상홀딩스우,084695,2025-06-08,"2025년 리박스쿨, 언제 적 댓글 공작",give****,"김문수 국민의힘 대선 후보를 띄우고 경쟁 후보들을 비방하는 댓글을 집중적으로 다는 방식으로 불법 여론 조작을 해온 단체 ‘리박스쿨’의 실체가 드러나고 있다.
리박스쿨이 국민의힘, 특히 김문수 후보와 깊은 관계를 맺어온 정황도 드러나고 있다. 리박스쿨은 학부모 단체로 위장해 2025년 5월27일 조정훈 국민의힘 의원의 주선으로 국회에서 기자회견을 열었다. 2019년 리박스쿨이 주관한 선거사무원 전문교육에 ‘김문수TV’가 협력사로 명시됐고, 2020년 리박스쿨이 유튜브에 올린 활동 보고 영상에도 김 후보가 등장한다는 사실 등을 더불어민주당이 공개했다.
민주당은 5월31일 손 대표 등 리박스쿨 관계자들을 공직선거법상 부정선거운동·매수·이해유도, 업무방해 혐의로 경찰에 고발했다. 경찰은 6월4일 손 대표의 주거지와 리박스쿨 사무실을 압수수색했다",,235,0,1,https://finance.naver.com/item/board_read.naver?code=084695&nid=303880770&st=&sw=&page=1,21대,한동훈,인맥주,2025-05-03,2025-06-10
