stock_name,stock_code,article_date,article_title,article_nickname,article_content,article_comments,article_viewers,article_likes,article_dislikes,article_url,vote_election,vote_candidate,vote_category,vote_start_date,vote_end_date
HD현대미포,010620,2022-03-16,기술적 분석 해보면,gust****,76000원 찍고 올라갈 가능성 큼,['ㅋㅋㄱㅋㅋ 실력이 없는데 무슨 분석을ㅋㅂㅋㅋㅋㅋㅋㅋㅈㄴ웃기너'],346,1,3,https://finance.naver.com/item/board_read.naver?code=010620&nid=216455733&st=&sw=&page=602,20대,이재명,정책주,2022-02-05,2022-03-16
HD현대미포,010620,2022-03-16,미 장 좋으면,mugi****,낼 85찍고 내려올 듯 ㅋㅋㅋ. 공매도 때문에 ㅠㅠ,[],235,0,2,https://finance.naver.com/item/board_read.naver?code=010620&nid=216446965&st=&sw=&page=602,20대,이재명,정책주,2022-02-05,2022-03-16
HD현대미포,010620,2022-03-16,게시판 분위기보니,long****,공매도 함 노리는갑네. 찬튀가 많다? 올라갈때아니다 예전에 현대제철 물릴때 분위기나네. 그때도 딱 분위기 이랬어. 내리니깐 찬티하던 것들 다사라짐. 은근히 보면 저것도 작전세력인가 싶음. 아니면 그냥 바보고,"['현대제철 작년 9월이랑 똑같음 이후로 -30% 폭락했지', '현대제철이랑 상황 똑같음']",565,6,5,https://finance.naver.com/item/board_read.naver?code=010620&nid=216435040&st=&sw=&page=602,20대,이재명,정책주,2022-02-05,2022-03-16
HD현대미포,010620,2022-03-16,청개구리,chun****,이넘은 가만보면 코스피 다른주들 다 엎어져있을 때는 혼자 올라가고 다른주들 다가면 혼자 누워있고... 청개구리 미포!,[],237,5,1,https://finance.naver.com/item/board_read.naver?code=010620&nid=216426354&st=&sw=&page=602,20대,이재명,정책주,2022-02-05,2022-03-16
HD현대미포,010620,2022-03-16,쎄네,ligh****,단기적으로 어찌될지는 아무도 모르지만 진짜 조선주 중에 제일 빨리 돌긴할듯,[],307,6,0,https://finance.naver.com/item/board_read.naver?code=010620&nid=216415983&st=&sw=&page=602,20대,이재명,정책주,2022-02-05,2022-03-16
HD현대미포,010620,2022-03-16,유가 빠지고 횡보하면 미포 호재인데,shee****,탱커선이 있자나 ㅋㅋ,['와 대단 ~^_^ 같은생각입니다'],460,7,1,https://finance.naver.com/item/board_read.naver?code=010620&nid=216408677&st=&sw=&page=602,20대,이재명,정책주,2022-02-05,2022-03-16
HD현대미포,010620,2022-03-16,현대미스포츈조선,thej****,오늘도떨어지네~,[],278,3,0,https://finance.naver.com/item/board_read.naver?code=010620&nid=216377687&st=&sw=&page=602,20대,이재명,정책주,2022-02-05,2022-03-16
HD현대미포,010620,2022-03-16,우주최강 조선소! 현대미포!,uhsi****,올해 10만 내년 20만 다음해 30만 이것도 1차 목표가이다. 믿고 개미들은 잘 보유하여라,[],322,6,3,https://finance.naver.com/item/board_read.naver?code=010620&nid=216376258&st=&sw=&page=602,20대,이재명,정책주,2022-02-05,2022-03-16
HD현대미포,010620,2022-03-16,잡아라.,elec****,단디 붙잡고 있어라.,[],276,1,1,https://finance.naver.com/item/board_read.naver?code=010620&nid=216359564&st=&sw=&page=602,20대,이재명,정책주,2022-02-05,2022-03-16
HD현대미포,010620,2022-03-16,"나스닥,다우",wwwh****,폭발,[],321,1,1,https://finance.naver.com/item/board_read.naver?code=010620&nid=216353220&st=&sw=&page=602,20대,이재명,정책주,2022-02-05,2022-03-16
HD현대미포,010620,2022-03-16,[삭제된 게시물의 답글]현재 액면가 5천원,lk******,"그럼 예전엔 액면가가 10,000 원? 롤지를 한다. ㅋ",[],146,0,0,https://finance.naver.com/item/board_read.naver?code=010620&nid=216387284&st=&sw=&page=603,20대,이재명,정책주,2022-02-05,2022-03-16
HD현대미포,010620,2022-03-15,개 악재 터졌습니다 뉴스확인,gust****,시외 개 폭락중,"['붕어 세마리 어항에 넣었당ㅎㅎ', '폭락을 더외처라!목청찢어지게!', '맛탱이 가셨네요...', 'ㅋㅋ 무슨뉴스 ㅋㅋ']",1442,4,1,https://finance.naver.com/item/board_read.naver?code=010620&nid=216331823&st=&sw=&page=603,20대,이재명,정책주,2022-02-05,2022-03-16
HD현대미포,010620,2022-03-15,거봐,ghks****,팔아라 피똥싼다,[],328,2,0,https://finance.naver.com/item/board_read.naver?code=010620&nid=216326652&st=&sw=&page=603,20대,이재명,정책주,2022-02-05,2022-03-16
HD현대미포,010620,2022-03-15,시외 던지라우,psw0****,뒹국 쌍간나들 조낸 빠지는구만,[],312,2,0,https://finance.naver.com/item/board_read.naver?code=010620&nid=216325560&st=&sw=&page=603,20대,이재명,정책주,2022-02-05,2022-03-16
HD현대미포,010620,2022-03-15,어제 오늘 못판사람들,gust****,땅을치고 후회할 것,[],722,7,1,https://finance.naver.com/item/board_read.naver?code=010620&nid=216322984&st=&sw=&page=603,20대,이재명,정책주,2022-02-05,2022-03-16
HD현대미포,010620,2022-03-15,상하이 주가,psw0****,고점에서 20%떡락 세계 시장 패닉온다,[],291,0,0,https://finance.naver.com/item/board_read.naver?code=010620&nid=216321630&st=&sw=&page=603,20대,이재명,정책주,2022-02-05,2022-03-16
HD현대미포,010620,2022-03-15,파업 ㅅㄱ,gust****,배 못만듦ㅋㅋㅋ,[],339,3,2,https://finance.naver.com/item/board_read.naver?code=010620&nid=216312955&st=&sw=&page=603,20대,이재명,정책주,2022-02-05,2022-03-16
HD현대미포,010620,2022-03-15,쌀때 못산 인간들 지금 모아가라 ㅎㅎ,to******,10만원 넘어가서 또 비싸다고 징징거리지말고 ㅋㅋ 근데 막상 떨어져도 못사겠지? ㅋㅋㅋ 평생 그러고 살아라 니들 팔자다 ㅋ,[],343,6,1,https://finance.naver.com/item/board_read.naver?code=010620&nid=216305826&st=&sw=&page=603,20대,이재명,정책주,2022-02-05,2022-03-16
HD현대미포,010620,2022-03-15,개박살,gust****,예정,"['붕어 두마리 또 낚았다 계속 걸리네ㅋㅋㅋㅋ뱅슈덜', '정신아픈아이입니다. 너무 욕하지말아주세요', '드~%~쉬~인~ 그런다고 그 대그빡이 어디가냐?', '붕어 또 한마리 낚았다', '에혀~ 대글빡을[ 족구]할 때만 쓸라고 달구 다니는 SKI~']",745,2,3,https://finance.naver.com/item/board_read.naver?code=010620&nid=216279783&st=&sw=&page=603,20대,이재명,정책주,2022-02-05,2022-03-16
HD현대미포,010620,2022-03-15,이모든호재에도,long****,여기서 환율 계속 올라가면 개박살. 그런상황에서 철강이란 조선 나락간거는 이미 역사가 검증해줌. 수급은 좋으나 계속 좋을지 의문. 어느정도 물량 모이면 기관에서 뱉어버리지않을까 예상중,[],351,0,0,https://finance.naver.com/item/board_read.naver?code=010620&nid=216278125&st=&sw=&page=603,20대,이재명,정책주,2022-02-05,2022-03-16
HD현대미포,010620,2022-03-15,니들 진짜 바보임?,ckdw****,적자난거 자재값 먼저 쓰고 아직 선가 덜받았자나,['눈에 보이는건 적자지속 앞으로 어떻게 될지 모르는 것 이 중요해'],642,0,1,https://finance.naver.com/item/board_read.naver?code=010620&nid=216276821&st=&sw=&page=603,20대,이재명,정책주,2022-02-05,2022-03-16
HD현대미포,010620,2022-03-15,연기금 돌았나,psw0****,지돈아니라고 막사네 적자 기업 돌봄이?,[],309,0,1,https://finance.naver.com/item/board_read.naver?code=010620&nid=216275706&st=&sw=&page=603,20대,이재명,정책주,2022-02-05,2022-03-16
HD현대미포,010620,2022-03-15,사상 최대 ㅈ,gust****,적자,"['또 낚여버린 붕어 2마리', '이 짱구는 미포조선과 불구대천의 원수 지간인가 보네.낮술 먹고 빨리 자라. 그리고 병원 가보고...', '종토방 최고의 관심~종자~!']",591,0,4,https://finance.naver.com/item/board_read.naver?code=010620&nid=216268727&st=&sw=&page=603,20대,이재명,정책주,2022-02-05,2022-03-16
HD현대미포,010620,2022-03-15,ㅋㅋㅋㅋㅋㅋ,ckdw****,개미들 물량 쭉쭉 털리노 맨날 기관 외인만 주구장창 사고,[],204,0,0,https://finance.naver.com/item/board_read.naver?code=010620&nid=216267697&st=&sw=&page=603,20대,이재명,정책주,2022-02-05,2022-03-16
HD현대미포,010620,2022-03-15,조금씩 담자,elec****,담아가자.,[],153,0,0,https://finance.naver.com/item/board_read.naver?code=010620&nid=216265409&st=&sw=&page=603,20대,이재명,정책주,2022-02-05,2022-03-16
HD현대미포,010620,2022-03-15,최소 한달짜리 조정,gust****,ㅋㅋㅋㅋㅋㅋ나이쓰,[],244,1,0,https://finance.naver.com/item/board_read.naver?code=010620&nid=216264302&st=&sw=&page=603,20대,이재명,정책주,2022-02-05,2022-03-16
HD현대미포,010620,2022-03-15,이렇게 적자가 심한데,psw0****,기관 매수? 이해 불가네,[],198,0,2,https://finance.naver.com/item/board_read.naver?code=010620&nid=216263596&st=&sw=&page=603,20대,이재명,정책주,2022-02-05,2022-03-16
HD현대미포,010620,2022-03-15,우째 하루만에 추세가 꺽이냐,ha******,조선업아니냐 ㅠ,[],222,1,0,https://finance.naver.com/item/board_read.naver?code=010620&nid=216263248&st=&sw=&page=603,20대,이재명,정책주,2022-02-05,2022-03-16
HD현대미포,010620,2022-03-15,오늘 8만 깨지고,gust****,다음주 7만깨짐 이렇게 한달 폭락 6만원 곧,['너... 누구보다 미포가 올르길 바라는 녀석이구나?'],398,1,3,https://finance.naver.com/item/board_read.naver?code=010620&nid=216262194&st=&sw=&page=603,20대,이재명,정책주,2022-02-05,2022-03-16
HD현대미포,010620,2022-03-15,내가 올리는 글 족족,gust****,부들부들 거리는 붕어들 캐웃기?ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,"['붕어 두마리 낚였네 밑에', '개똥철학으로 놀구 자빠 젼네...']",371,0,2,https://finance.naver.com/item/board_read.naver?code=010620&nid=216259049&st=&sw=&page=603,20대,이재명,정책주,2022-02-05,2022-03-16
HD현대미포,010620,2022-03-15,오늘부터,gust****,한달간 하락 . 6만 볼것,"['붕어쉐릐 2마리', '거지', '너 이거 정신병이야 ...진짜로 병원가봐']",342,0,4,https://finance.naver.com/item/board_read.naver?code=010620&nid=216252594&st=&sw=&page=604,20대,이재명,정책주,2022-02-05,2022-03-16
HD현대미포,010620,2022-03-15,[삭제된 게시물의 답글]오늘부터,lydl****,나도 매수 하게 더 빼줘 ~~~ ㅋㅋ 불쌍하다 진짜 너 보닌깐 ㅋ,['붕어'],165,0,0,https://finance.naver.com/item/board_read.naver?code=010620&nid=216258201&st=&sw=&page=604,20대,이재명,정책주,2022-02-05,2022-03-16
HD현대미포,010620,2022-03-15,멍청한 개미들 사는사람 없겟지?,hoye****,곧 디폴트다,['그런 악재 미리 예상하면서 어떻게 주식하냐 항상 부정적인 놈은 돈 벌수가 없어 ~ 미래를 바라 그것 또한 지나간다 ~'],345,0,1,https://finance.naver.com/item/board_read.naver?code=010620&nid=216248846&st=&sw=&page=604,20대,이재명,정책주,2022-02-05,2022-03-16
HD현대미포,010620,2022-03-15,외인들 자전거래 하면서 싼 값에 주워 담는구나,kych****,개미들만 죽쑤네..,[],175,0,0,https://finance.naver.com/item/board_read.naver?code=010620&nid=216248691&st=&sw=&page=604,20대,이재명,정책주,2022-02-05,2022-03-16
