election,candidate,stock_name,stock_code,category,desc,start_date,end_date
20대,이재명,TS트릴리온,317240,정책주,탈모약 건강보험 적용 공약,2022.02.05,2022.03.16
20대,이재명,JW신약,067290,정책주,탈모약 건강보험 적용 공약,2022.02.05,2022.03.16
20대,이재명,위더스제약,330350,정책주,탈모약 건강보험 적용 공약,2022.02.05,2022.03.16
20대,이재명,현대약품,004310,정책주,탈모약 건강보험 적용 공약,2022.02.05,2022.03.16
20대,이재명,코나아이,052400,정책주,지역화폐 정책 관련,2022.02.05,2022.03.16
20대,이재명,HD현대에너지솔루션,322000,정책주,"신재생에너지(햇빛연금, 풍력) 공약",2022.02.05,2022.03.16
20대,이재명,한화솔루션,009830,정책주,"신재생에너지(햇빛연금, 풍력) 공약",2022.02.05,2022.03.16
20대,이재명,두산퓨얼셀,336260,정책주,연료전지 산업 확대 기대,2022.02.05,2022.03.16
20대,이재명,HD현대미포,010620,정책주,K-조선업(LNG 추진 선박) 공약,2022.02.05,2022.03.16
20대,이재명,에이텍,045660,인맥주,신승영 대표가 성남창조경영 CEO포럼 운영위원 출신,2022.02.05,2022.03.16
20대,이재명,에이텍모빌리티,224110,인맥주,신승영 대표가 성남창조경영 CEO포럼 운영위원 출신,2022.02.05,2022.03.16
20대,이재명,이스타코,015020,인맥주,이재명 테마주로 분류,2022.02.05,2022.03.16
20대,이재명,CS,065770,인맥주,이재명 테마주로 분류,2022.02.05,2022.03.16
20대,이재명,상지건설,004940,인맥주,개인적 인연을 앞세운 인맥주,2022.02.05,2022.03.16
20대,이재명,동신건설,025950,인맥주,본사가 이재명 후보의 고향인 경북 안동에 있다는 이유로 테마주에 편입,2022.02.05,2022.03.16
20대,이재명,토탈소프트,045340,정책주,이재명 후보의 핵심 공약인 '기본소득'과 연관된 지역화폐 관련주로 주목,2022.02.05,2022.03.16
20대,이재명,카스,016920,정책주,이재명 후보의 핵심 공약인 '기본소득'과 연관된 지역화폐 관련주로 주목,2022.02.05,2022.03.16
20대,윤석열,NE능률,053290,인맥주,최대주주가 파평 윤씨 종친,2022.02.05,2022.03.16
20대,윤석열,웅진,016880,인맥주,윤석열 테마주로 꼽힘,2022.02.05,2022.03.16
20대,윤석열,서연,007860,인맥주,사외이사가 윤석열 후보와 서울대학교 법대 동문이라는 이유로 윤석열 테마주의 대장주,2022.02.05,2022.03.16
