stock_name,stock_code,article_date,article_title,article_nickname,article_content,article_comments,article_viewers,article_likes,article_dislikes,article_url,vote_election,vote_candidate,vote_category,vote_start_date,vote_end_date
서연탑메탈,019770,2022-03-16,물타기 말고 댐을 ㅠㅠ,outl****,하고자 합니다. 최고점 ㅡㆍㅡ 상태 입니다.,[],258,0,0,https://finance.naver.com/item/board_read.naver?code=019770&nid=216449169&st=&sw=&page=293,20대,윤석열,인맥주,2022-02-05,2022-03-16
서연탑메탈,019770,2022-03-16,대선주 탈피했다 이제 부터는 실적 기술주로가자 너도 로봇 만드는 회사아니냐,kkcc****,굴장비 전부 로봇이다 가자,[],270,3,0,https://finance.naver.com/item/board_read.naver?code=019770&nid=216448276&st=&sw=&page=293,20대,윤석열,인맥주,2022-02-05,2022-03-16
서연탑메탈,019770,2022-03-16,안티생기는거보닌까사야겠죠?ㅎ,cjsw****,지금이다5천원몰빵ㅋ,[],214,0,2,https://finance.naver.com/item/board_read.naver?code=019770&nid=216407676&st=&sw=&page=293,20대,윤석열,인맥주,2022-02-05,2022-03-16
서연탑메탈,019770,2022-03-16,OOO 주식,alsd****,폭등해도 꼬라져 폭락해도 더 꼬라져 실체가 뭐냐,"['주총이내일인데 주가조작하는듯!', '대주지분이 약 42%, 현시총이 565억...최대 유통물량 3백억 이내..돈 몇 십억으로도 장난칠 수 있는 종목이라서......이거 저 무거운 현대차, 기아차 2-3%씩 오르는데 얘 주가 보면 꼭 자동차 주가와도 연동되는 것 같지도 않고...결국 작업질 중이란 이야기가 맞는듯..']",385,4,0,https://finance.naver.com/item/board_read.naver?code=019770&nid=216375481&st=&sw=&page=293,20대,윤석열,인맥주,2022-02-05,2022-03-16
서연탑메탈,019770,2022-03-15,매수자가 없구나 매도하기 바쁘다.,kasu****,나도 내일은 매도한다.,"['오늘 매동보니 외인이 이삭줍기 잘하고 잇는 것 같은데 이건 뭔 개솔이냐...나가려면 조용히 나가는 것이리니...주식판이란게 원래 나가는 사람이 있으면 새로 들어오는 사람도 있는 법이니...이건 기본 아니니...기본도 모르면 넌 주식하지 마라', 'http://www.haejuoh.net/htmls/haejuo03-1.htm 족보열람 개꿀띠 대박 포메탈 대표 오호석 부 오세원 자 오호석 1968년생 이렇게적으면 확인되여']",317,1,2,https://finance.naver.com/item/board_read.naver?code=019770&nid=216299936&st=&sw=&page=293,20대,윤석열,인맥주,2022-02-05,2022-03-16
서연탑메탈,019770,2022-03-15,서연탑 ㅡ,coco****,주제파악좀 해라 ㅡ너가 코스피인지 ㅡ착각하나 ㅡ개잡주 ㅡㅡ주총때보자 ㅡ,[],205,1,0,https://finance.naver.com/item/board_read.naver?code=019770&nid=216286953&st=&sw=&page=293,20대,윤석열,인맥주,2022-02-05,2022-03-16
서연탑메탈,019770,2022-03-15,서연은 신저가 그래도 버틴다.,kasu****,다행이다.,"['http://www.paxnet.co.kr/tbbs/view?id=119500&seq=150357586366730', '*http://www.paxnet.co.kr/tbbs/view?id=119500&seq=150357586376978']",325,1,2,https://finance.naver.com/item/board_read.naver?code=019770&nid=216272692&st=&sw=&page=293,20대,윤석열,인맥주,2022-02-05,2022-03-16
서연탑메탈,019770,2022-03-15,더 떨어져야 물타기라도하지,mal7****,3천원까지 떨쳐라,"['조금만사도 뭉땡이 물량출회하는데 누가사냐!', '살사람이없다.누가사겠어? 이른주식을 차라리 삼성전자를사지!']",309,3,4,https://finance.naver.com/item/board_read.naver?code=019770&nid=216246565&st=&sw=&page=293,20대,윤석열,인맥주,2022-02-05,2022-03-16
서연탑메탈,019770,2022-03-14,이제 그만 겁줘라,sotf****,심장 약한 사람 어쩌라고 이렇게 많이 겁을 주냐? 응? 이만하면 튈사람들 다 튀었다. 열심히 기다린 사람들 쫌만 나누면서 살자,[],218,4,1,https://finance.naver.com/item/board_read.naver?code=019770&nid=216225483&st=&sw=&page=293,20대,윤석열,인맥주,2022-02-05,2022-03-16
서연탑메탈,019770,2022-03-14,이런 잡주는 매도야,kkcc****,매도해야 답이다,[],202,2,3,https://finance.naver.com/item/board_read.naver?code=019770&nid=216196450&st=&sw=&page=293,20대,윤석열,인맥주,2022-02-05,2022-03-16
