stock_name,stock_code,article_date,article_title,article_nickname,article_content,article_comments,article_viewers,article_likes,article_dislikes,article_url,vote_election,vote_candidate,vote_category,vote_start_date,vote_end_date
CS,065770,2022-03-16,재료좋은데 안움직이네요,snow****,냉무,"['미원에 다시마재료??', '꼴깝 하네', 'IMM CS 투자 유치?', '무슨재료인가요?']",818,0,3,https://finance.naver.com/item/board_read.naver?code=065770&nid=216392835&st=&sw=&page=83,20대,이재명,인맥주,2022-02-05,2022-03-16
CS,065770,2022-03-15,에이,tt******,욕나오네 진짜 리딩업체 OOO,[],327,2,2,https://finance.naver.com/item/board_read.naver?code=065770&nid=216247770&st=&sw=&page=83,20대,이재명,인맥주,2022-02-05,2022-03-16
CS,065770,2022-03-14,예상대로 가네요..,eron****,"오래간만에 와 봤는데, 예상대로 주가 흐름 가고 있네요.. 내가 말한대로 2000원 이하도 찍었고, 현재 이 회사 적정가치라고 강조했던 2000~ 2200원 사이에서 주가 형성중. 당분간 이 가격대에서 상하 10%~20% 범위에서 박스권으로 움직인다고 보면 됩니다.(단 매우 느리게) 다시 말하지만 현재 인플레, 전쟁등의 불안정한 시장상황이 호전된다면, 여기 주주들은 다른 종목들에 비해 상대적인 박탈감이 커지는 구간을 오랜시간 경험할거에요 ㅠㅠ. 여긴 실적 기대치가 없어서 반등이 거의 없어요 ㅠㅠ. 지금 봐도, 정말 실적 좋고 저평가 구간인 회사들이 너무 많이 보이는데 ㅎㅎ 함부러 물타는 것도 특히 조심.. 영업이익 1-2억 하는 구멍가게에 장기투자에 빠져드는 우를 범하게 됩니다. 다들 성투하세요 ~~","['그래도 나만큼 이 회사에 대해서 잘 아는 사람은 없다고 봐.. 벌써 15년이 넘었구나, 한때 주주들한테 배당금 지급했을 만큼 이 회사 실적이 좋았을때, 나도 20만주 근처 까지 있었으니 ㅎㅎ. 이 정도면 큰 손 아니었던가.. 라떼는 인가? ㅎㅎㅎ', '글 그만 쓰려고 했지.. 근데 지난주 목요일에 1950원에 1,000주, 1850원에 1,000주 매수 걸어 놓고 외출갔다 오니, 덮석 1950원에 1,000주가 매수 체결되어 버렸더라구ㅠㅠ.. 어쩔 수 없이 또 여기 주주가 되어 버렸네.(13년간 연속 주주가 된거고 그 전까지 합치면 총 16년간 주주가 된거지..이거참..). 이거 1,000주는 올해 하반기에 2400정도 매도 기회 한번은 주지 않을까 싶은데 ...', '글 그만 쓴다매 ?']",770,4,4,https://finance.naver.com/item/board_read.naver?code=065770&nid=216157642&st=&sw=&page=83,20대,이재명,인맥주,2022-02-05,2022-03-16
CS,065770,2022-03-10,찢테마 끝났으니 이제 다른 테마로 가즈아,qkrt****,만원까지 기다린다.,[],664,5,6,https://finance.naver.com/item/board_read.naver?code=065770&nid=215941931&st=&sw=&page=83,20대,이재명,인맥주,2022-02-05,2022-03-16
CS,065770,2022-03-10,돔황챠~~~~~,tkdg****,이재명 돔황챠~~~~,[],432,1,2,https://finance.naver.com/item/board_read.naver?code=065770&nid=215858822&st=&sw=&page=83,20대,이재명,인맥주,2022-02-05,2022-03-16
CS,065770,2022-03-09,이재명주,summ****,아니였어요?,['쩜하.. 수고하셨습니다'],958,1,2,https://finance.naver.com/item/board_read.naver?code=065770&nid=215831010&st=&sw=&page=83,20대,이재명,인맥주,2022-02-05,2022-03-16
CS,065770,2022-03-08,나도 CS 물렸지만,gurw****,내 종목 중에 상폐함 보여주라~ 웃으며 보낼게,[],600,2,3,https://finance.naver.com/item/board_read.naver?code=065770&nid=215764669&st=&sw=&page=83,20대,이재명,인맥주,2022-02-05,2022-03-16
CS,065770,2022-03-08,걱정말고 매수,qkrt****,찢이 떨어질거 다 반영된 가격이다.,['재료소멸인데 뭔 매수 ㅋㅋㅋㅋㅋ 이거 살 바에야 신풍제약 같은 거 사고말지 ㅋㅋㅋㅋㅋ 빠가임?'],701,5,3,https://finance.naver.com/item/board_read.naver?code=065770&nid=215748816&st=&sw=&page=83,20대,이재명,인맥주,2022-02-05,2022-03-16
CS,065770,2022-03-07,통신기,jx******,노후장비 교체할때가 와야 오른다,[],426,6,0,https://finance.naver.com/item/board_read.naver?code=065770&nid=215637556&st=&sw=&page=83,20대,이재명,인맥주,2022-02-05,2022-03-16
CS,065770,2022-03-07,이재명이 8% 차이로 이긴다는 분석나왔다,hjyi****,"http://www.cbinews.co.kr/news/articleView.html?idxno=203903 이 기사 봐봐라 이재명 47%, 윤석열 38% 구글+네이버 트렌드 분석이란다 지난번 총선도 정확하게 민주당 180석을 맞춘 교수 분석이다","['응 짐 ^^~', 'ㅋㅋㅋ', 'ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ', '대선주인데 전세계 상황이 이따구라 아주 망했네 젠장', '이재명 대통령 갑시다~!!']",718,8,12,https://finance.naver.com/item/board_read.naver?code=065770&nid=215616342&st=&sw=&page=83,20대,이재명,인맥주,2022-02-05,2022-03-16
