stock_name,stock_code,article_date,article_title,article_nickname,article_content,article_comments,article_viewers,article_likes,article_dislikes,article_url,vote_election,vote_candidate,vote_category,vote_start_date,vote_end_date
시공테크,020710,2025-06-10,기다려라 다뎃다 볼린져 쪽. 쪼그라 들었다 ㅋ,wooy****,ㅋㅋㅋ,[],83,0,0,https://finance.naver.com/item/board_read.naver?code=020710&nid=303978897&st=&sw=&page=6,21대,한덕수,인맥주,2025-05-03,2025-06-10
시공테크,020710,2025-06-09,아름다운 조정,oxen****,멋지다~,['폭락전주다'],210,2,5,https://finance.naver.com/item/board_read.naver?code=020710&nid=303945349&st=&sw=&page=6,21대,한덕수,인맥주,2025-05-03,2025-06-10
시공테크,020710,2025-06-09,AI 나불거리더니 다팔아먹엇네,daeb****,그놈참 어리석네,[],145,3,2,https://finance.naver.com/item/board_read.naver?code=020710&nid=303941542&st=&sw=&page=6,21대,한덕수,인맥주,2025-05-03,2025-06-10
시공테크,020710,2025-06-09,덕수 깜방가자,yo******,시공주가 요따우로 해놓고 튀었으니 깜빵가자,['그라자..그게 살길이다.... 왜 그리 몰았을꼬..'],134,6,4,https://finance.naver.com/item/board_read.naver?code=020710&nid=303935515&st=&sw=&page=6,21대,한덕수,인맥주,2025-05-03,2025-06-10
시공테크,020710,2025-06-09,한번해먹은놈은,lyjk****,절대못감,[],121,2,1,https://finance.naver.com/item/board_read.naver?code=020710&nid=303931986&st=&sw=&page=6,21대,한덕수,인맥주,2025-05-03,2025-06-10
시공테크,020710,2025-06-09,일정실업공시떳다,9036****,언는와,[],93,0,2,https://finance.naver.com/item/board_read.naver?code=020710&nid=303931650&st=&sw=&page=6,21대,한덕수,인맥주,2025-05-03,2025-06-10
시공테크,020710,2025-06-09,찌질찌질 개찌질,seat****,돈없는 쪼무래기 검머늠,[],65,1,2,https://finance.naver.com/item/board_read.naver?code=020710&nid=303925183&st=&sw=&page=6,21대,한덕수,인맥주,2025-05-03,2025-06-10
시공테크,020710,2025-06-09,조만간,yo******,불기둥쇼 할것 같다?,[],95,2,3,https://finance.naver.com/item/board_read.naver?code=020710&nid=303910053&st=&sw=&page=6,21대,한덕수,인맥주,2025-05-03,2025-06-10
시공테크,020710,2025-06-09,시공은 잠시.쉬고 있어..,univ****,금일 카페 형님이 나를 위로 하고 있다.,[],88,0,2,https://finance.naver.com/item/board_read.naver?code=020710&nid=303905470&st=&sw=&page=6,21대,한덕수,인맥주,2025-05-03,2025-06-10
시공테크,020710,2025-06-09,한번쏘자 쏠때덴거 안다 ㅋㅋㅋ,wooy****,ㅋㅋ,[],73,2,2,https://finance.naver.com/item/board_read.naver?code=020710&nid=303903791&st=&sw=&page=6,21대,한덕수,인맥주,2025-05-03,2025-06-10
시공테크,020710,2025-06-09,어거지로 눌리네 ㅋㅋ 3990에,wooy****,난 장시작하자마자 5000주 추매. 총 12000주 다 ㅋㅋ,[],93,2,0,https://finance.naver.com/item/board_read.naver?code=020710&nid=303900021&st=&sw=&page=6,21대,한덕수,인맥주,2025-05-03,2025-06-10
시공테크,020710,2025-06-09,오늘도 외인 프매 입성,wooy****,ㅋㅋ,[],100,1,2,https://finance.naver.com/item/board_read.naver?code=020710&nid=303895071&st=&sw=&page=6,21대,한덕수,인맥주,2025-05-03,2025-06-10
시공테크,020710,2025-06-09,카카오페이..알체라.,univ****,금일.간다 빨리들~,"['지역화폐는 카톡으로..지권 유통도 귀찮고.. 전국적 유통이 가능한 카페이로.', '카페.상... 상한가에 70만주 대기중. 끝... 내가 장시장 10분전에 갈켜줬다.', '알체라도 10% ㅋ 뭐냐..', '24% 이것이.이재명 주였구나.. ㅎ', '20%돌파하네년중 최고가.... 카카오페이 뭐냐', '갈켜줘도 못 따라오징..ㅋㅋㅋ 5%먹으라고 둬도 못 드심']",96,0,2,https://finance.naver.com/item/board_read.naver?code=020710&nid=303894834&st=&sw=&page=6,21대,한덕수,인맥주,2025-05-03,2025-06-10
시공테크,020710,2025-06-09,이번주 좀 잼잇을듯. 그냥 홀딩 ㅋㅋ,wooy****,ㅋㅋ,[],56,1,0,https://finance.naver.com/item/board_read.naver?code=020710&nid=303894126&st=&sw=&page=6,21대,한덕수,인맥주,2025-05-03,2025-06-10
시공테크,020710,2025-06-08,3.800원,tjdg****,에 물타려고 하는데 한번만 더 내리자~ 기회가 올까나? 몰빵 가야 하는데…,"['여긴 테마 끝나서 이제 아이스크림에듀처럼 천천히 흐르다 3천 초반 본다', '2천원까지 기다렸다 물타기 하시길.', '무조건 옵니다 일년안에 오게 되있어요', '푸하하 😝 😝', '안와요 지금.바로 사세요']",362,2,4,https://finance.naver.com/item/board_read.naver?code=020710&nid=303881717&st=&sw=&page=6,21대,한덕수,인맥주,2025-05-03,2025-06-10
