stock_name,stock_code,article_date,article_title,article_nickname,article_content,article_comments,article_viewers,article_likes,article_dislikes,article_url,vote_election,vote_candidate,vote_category,vote_start_date,vote_end_date
태양금속,004100,2025-06-10,너무나 분명한 그림,za******,"이번 대선에서 차마 이재명을 찍을 수 없어 국힘당을 찍어준 보수 지지 국민들이 바라는 것은 단 하나다. 그것은 국민의힘이 제대로 된 보수정당으로 다시 살아나는 것이다. 누가 당대표가 되든 내란 세력과 부정부패 세력을 확실히 청산하고, 이재명 정부가 잘못된 길을 갈 때마다 선명하게 대안을 제시하는 모습을 보여준다면, 보수 국민들은 내년 지방선거에서 국민의힘을 지지해줄 것이다. 그러므로 국힘당 당원들도 결국 그 일을 해낼 수 있는 인물을 당대표로 만들 것이라는 것은 너무나 분명하다. 남은 문제는 단 하나, 과연 국힘당에서누가 그런 능력이 있는가일뿐이다.",['난 이번대선 친윤 꼴보기 싫어서 이재명 찍엇는데'],153,6,0,https://finance.naver.com/item/board_read.naver?code=004100&nid=304019020&st=&sw=&page=15,21대,한동훈,인맥주,2025-05-03,2025-06-10
태양금속,004100,2025-06-10,세력들은 물량 다 정리 중이네,pc******,여기도 개미지옥으로 변해가는중 신용도 물량도 많아지고 있고,[],80,4,4,https://finance.naver.com/item/board_read.naver?code=004100&nid=304017134&st=&sw=&page=15,21대,한동훈,인맥주,2025-05-03,2025-06-10
태양금속,004100,2025-06-10,어리석은 중생들..,yjnk****,내년 지방선거 무조건 폭망한다는 등x도 다있네 ~,[],79,1,1,https://finance.naver.com/item/board_read.naver?code=004100&nid=304013528&st=&sw=&page=15,21대,한동훈,인맥주,2025-05-03,2025-06-10
태양금속,004100,2025-06-10,어리석은 중생들?,yjnk****,"한동훈 이번 당대표 안가져가면 친윤계가 당대표되고 공천권 휘둘러 그나마 혁신하기를 원하는 친한계 씨를 말릴것이 뻔한디 무슨 다음번? 웃기는말 무슨일이 있어도 당대표를 가져가야 ?은보수, 수구 친윤계를 도려내고 보수혁신을할수있는 기회라도 있다 친윤계가 기생하고 있는 작금의 국힘당은 꼴통수구집단이지 보수정당이 아니다 계엄령부터 이재명 대통되기까지 이모든게 친윤이 저지른 원인과 결과 아니더냐!",[],146,18,2,https://finance.naver.com/item/board_read.naver?code=004100&nid=304012582&st=&sw=&page=15,21대,한동훈,인맥주,2025-05-03,2025-06-10
태양금속,004100,2025-06-10,뚜껑 까고 말만 많이 안하면 다음 정권은 한동훈,jin0****,형이 분명히 조언한다 여기 들어와서 여론 보는거 안다 너는 가발 벗고 말을 절반으로 줄여라 그럼 이 시국에 견제 세력에 우두머리가 될것이다,[],75,1,2,https://finance.naver.com/item/board_read.naver?code=004100&nid=304011427&st=&sw=&page=15,21대,한동훈,인맥주,2025-05-03,2025-06-10
태양금속,004100,2025-06-10,가발만 벗으면 무조건 쩜상인데..,jin0****,날 더운데 좀 벗지 그거 하나를 까주질 않네 참나.. 신뢰감 정직함 믿음감 거짓 없는 행동으로 분위기 전환 못하면 한동훈 절대 당권.정권 못잡는다 벗어라 벗고 새롭게 출발허자,[],67,5,4,https://finance.naver.com/item/board_read.naver?code=004100&nid=304010510&st=&sw=&page=15,21대,한동훈,인맥주,2025-05-03,2025-06-10
태양금속,004100,2025-06-10,이주식은 어느날 갑자기,kys9****,올라갈거다,['신용 미수들 곡소리가 들린다..ㅋ'],182,3,5,https://finance.naver.com/item/board_read.naver?code=004100&nid=304001813&st=&sw=&page=15,21대,한동훈,인맥주,2025-05-03,2025-06-10
태양금속,004100,2025-06-10,프매로 계속 사는게,kys9****,신경쓰임ㅋ,[],59,0,0,https://finance.naver.com/item/board_read.naver?code=004100&nid=304001509&st=&sw=&page=15,21대,한동훈,인맥주,2025-05-03,2025-06-10
태양금속,004100,2025-06-10,이게 회사는 좋은 회사인데,wonb****,괜히 정치주에 묶여서 ㅠ,[],43,2,0,https://finance.naver.com/item/board_read.naver?code=004100&nid=304000184&st=&sw=&page=15,21대,한동훈,인맥주,2025-05-03,2025-06-10
태양금속,004100,2025-06-10,태양금속,mc******,==,[],53,0,0,https://finance.naver.com/item/board_read.naver?code=004100&nid=303996527&st=&sw=&page=15,21대,한동훈,인맥주,2025-05-03,2025-06-10
태양금속,004100,2025-06-10,근데,ca******,은근히 실적주네요 일 잘하는 회사인가요?,[],56,4,0,https://finance.naver.com/item/board_read.naver?code=004100&nid=303991440&st=&sw=&page=15,21대,한동훈,인맥주,2025-05-03,2025-06-10
태양금속,004100,2025-06-10,태양금속,mc******,-,[],52,0,0,https://finance.naver.com/item/board_read.naver?code=004100&nid=303990222&st=&sw=&page=15,21대,한동훈,인맥주,2025-05-03,2025-06-10
태양금속,004100,2025-06-10,당대표 관련주 출발!,d-al****,니들은 정치.대선주 흐름 학습 좀 혀! 민주당 당대표 후보 박찬대 대장 경방대표 인하대 경영학과 박찬대 1년후배 정청래 대한뉴팜회장 건국대 동문/램테크롤로지 고향 금산 그리고 조국 8.15특사 사면복권 기대주 관심 가져라,[],120,1,2,https://finance.naver.com/item/board_read.naver?code=004100&nid=303987507&st=&sw=&page=15,21대,한동훈,인맥주,2025-05-03,2025-06-10
태양금속,004100,2025-06-10,이 종목의 한계는,za******,"3천인가? 3만인줄 알았는데, 3천?","['오미... 다들 다른데가서 부지런히 묵고댕기래도..이건 글러먹은 글루미한주식이여.. 양쪽에서 죽이는 주식...다른거사서 배터지네 아조...눈만뜨믄 이놈상가고 눈만뜨믄 저놈상가고..찢주당얘들 지금 신나서 주가조작해퍼묵고있는디... 여서 머더는겨 진짜로... 속이타네..', '현재로서는 한동훈이 답이다. 그리고 김문수 사이비 종교와 맞붙어 이길수 없다면 창당하는게 맞다. 사이비종교 자유한국당이 친윤 국힘 내란당과 합당을 하든 굿힘을 장악을 하든지 하여간 당원들의 방향에 따라 내란당의 운명이 결정 친윤의 엄청난 술수와 선전선동 개난장판이 예상된다. 그나마 한동훈 당대표가 되어야 국민에게 용서를 구하는 첫걸음이 될것이다.']",137,3,0,https://finance.naver.com/item/board_read.naver?code=004100&nid=303978879&st=&sw=&page=15,21대,한동훈,인맥주,2025-05-03,2025-06-10
태양금속,004100,2025-06-10,지역화페 평홀,leol****,다 하방이네 ㅋㅋ,[],72,0,0,https://finance.naver.com/item/board_read.naver?code=004100&nid=303975086&st=&sw=&page=15,21대,한동훈,인맥주,2025-05-03,2025-06-10
태양금속,004100,2025-06-10,떨어진다,kys9****,ㅠ,[],36,2,0,https://finance.naver.com/item/board_read.naver?code=004100&nid=303973660&st=&sw=&page=15,21대,한동훈,인맥주,2025-05-03,2025-06-10
태양금속,004100,2025-06-10,역시 이재명을 대적할 인물은 한동훈 밖에 없는듯..,ckeh****,"한동훈 ""헌법 84조로 李 재판중단?…'헌법 68조' 어찌 설명하나"" 입력2025.06.10. 오전 4:40 한동훈 전 국민의힘 대표가 이재명 대통령에 대한 재판중지를 결정한 서울고법의 결정에 대해 “헌법상 이재명 대통령 재판은 중단되지 않는다. 헌법적으로도 그렇고, 다수 국민 상식면에서도 그렇다”고 9일 지적했다. 아울러 한 전 대표는 헌법 68조도 소개했다. 헌법 84조 1항은 ‘대통령의 임기가 만료되는 때에는 임기만료 70일 내지 40일전에 후임자를 선거한다’고 규정한다. 또 같은 조 2항은 ‘대통령이 궐위된 때 또는 대통령 당선자가 사망하거나 판결 기타의 사유로 그 자격을 상실한 때 에는 60일이내에 후임자를 선거한다’고 규정하고 있다. https://n.news.naver.com/article/comment/014/0005360913","['당대표를 정확히 출마한다는 의사표명이 여태 없어서 주가가 흐지부지했던것으로 본인은 생각해봄..내일 이후 한동훈의 출마여부가 어느정도 윤곽이 드러난다면..동훈 관련주들 움직임이 좋을거라 예상해봄..', ""한동훈 전 대표가 국민의힘 원외 인사들로 이뤄진 혁신모임과 만찬 회동에 갖고, 현재 당의 위기 상황에 대한 의견을 나눌 예정인 것으로 확인됐다. 9일 데일리안 취재에 따르면 국민의힘 원외 당협위원장 및 내부 인사로 이뤄진 혁신모임인 '투수회'의 오는 11일 만찬 자리에 한 전 대표가 참석한다. '투수회'는 매달 두번째 수요일에 정기적으로 모이는 국민의힘 원외 혁신 모임이다.==>>>내일 11일이후에 동훈이가 출격할지.안할지..윤곽이 드러날수있을법한 기사..고로 오늘도 출전 할지 안할지 몰라..횡보할가능성 농후해 보임.."", ""[단독] 한동훈, 11일 원외 당협 '혁신모임'과 만찬…당 상황 논의 전망입력2025.06.09. 오후 6:46 수정2025.06.09. 오후 6:55"", '이번 전당대회는 모든것이 당원들의 손에 달려있으니...국힘 당원들이 깨어나느냐? 그대로 윤석열의 마법에 빠져 석열이의 품에서 헤어나오지 못하느냐? 전당대회는 이제 개최하는것을 기정사실로 된봐..이제 국힘의 운명은 당원들이 손에 달려있음...국힘 당원들이 깨어나길 바래봄..이렇게 날카롭게 국민의 입과 스피커가 되어 현정부를 날카롭게 비판할 인물이 누가 되야...국힘에게 도움이 되리라는걸...', '자고 일어나니 이런기사가...국힘에서는 한동훈외에는 이렇게 자세하게 세부적으로 이재명을 비판하는자가 이리 없단 말인가?..친윤들은 머하냐?..항상 자기들 자리나 뺏기지 않으려고 머리만 굴리니 이런 비판을 할 여유나 있나? 쯧쯧..', '●●본기사 1위 댓글●●gore**** 지극히 정상적인 이야기를 이해 못하는것은 무식한것이고 인정하지않으려는것은 파렴치한것이지... 이건한동훈씨 말이 맞다. 법치국가에서 정치든 사람이든 법위에 군림할 수 없다. 다수당의 힘으로 법을 교란한다 하더라도 헌법을 손상시키지 못한다 2025.06.10. 04:57 답글2공감/비공감공감60비공감6']",265,10,2,https://finance.naver.com/item/board_read.naver?code=004100&nid=303965509&st=&sw=&page=15,21대,한동훈,인맥주,2025-05-03,2025-06-10
태양금속,004100,2025-06-09,한동훈 당대표 고심중이라는데?,kys9****,박정하 왈 김문수 나올거같고 한동훈 당대표 고심중..,['까ᆢ고있네'],232,0,0,https://finance.naver.com/item/board_read.naver?code=004100&nid=303961265&st=&sw=&page=16,21대,한동훈,인맥주,2025-05-03,2025-06-10
태양금속,004100,2025-06-09,근데 한동훈 당대표,suon****,나온다고 했냐 밥통들아 아직 근신중이다 밥통들아 디비자라 밥통들아,['누가 지금 당대표 한다고 설치냐 전당대회 어떻게 열고 후보자들 모집해야하는데 벌써 어느 멍청이가 설래발치고 나 당대표 할래요 그러냐'],202,4,3,https://finance.naver.com/item/board_read.naver?code=004100&nid=303960336&st=&sw=&page=16,21대,한동훈,인맥주,2025-05-03,2025-06-10
태양금속,004100,2025-06-09,한동훈11일 만찬,leol****,ㅋㅋㅋ 움직이기시작했다 당 논의 한다는거보니 뉴스떳다 가즈아 동훈이형 문수형한테 또지면 그냥 정치접어야지https://n.news.naver.com/article/119/0002966091,"['개소리 짖고있네', '안나오는데 대머리']",239,8,2,https://finance.naver.com/item/board_read.naver?code=004100&nid=303959215&st=&sw=&page=16,21대,한동훈,인맥주,2025-05-03,2025-06-10
태양금속,004100,2025-06-09,전당대회,4447****,한동훈 불출마 뜨는 순간 2200원 나락 간다 김종인도 나오지 말라 하던데... 차라리 친한 데리고 창당을 하는게 나을듯한데,['매도했나? 너무 비상식적이네. 내년 지방선거 공천권을 행사할수 있는 당대표임. 당내 세력을 확보할수 있는 기회를 버린다? 생각을 좀 하고 주식하시길..'],250,2,7,https://finance.naver.com/item/board_read.naver?code=004100&nid=303958549&st=&sw=&page=16,21대,한동훈,인맥주,2025-05-03,2025-06-10
태양금속,004100,2025-06-09,전당대회 1~2명 빼고 9월 이전으로 이른시기에 하자고 합의됐다고 함,ckeh****,전당대회는 확실히 개최되는걸로 거의 확정. 관련 유투브영상 참고 https://youtu.be/TapPJKGXbHs?si=wd0mmpWM0mjdaABY,"['전당대회는 모든것이 당원들의 손에 달려있으니...국힘 당원들이 깨어나느냐? 그대로 윤석열의 마법에 빠져 석열이의 품에서 헤어나오지 못하느냐? 전당대회는 이제 개최하는것을 기정사실로 된봐..이제 국힘의 운명은 당원들이 손에 달려있음...국힘 당원들이 깨어나길 바래봄..', '김문수를 미는듯한 모양새지만 그래도 정치는 움직이는 생물..아무도 모르는법....그냥 열심히 응원들이나 합시다..', '전당대회8월까지는 끝내자고 말하네요', '1분 52초 부터 전당대회 빠른시기에 하자고 거의 대부분의 의원분들이 합의 했다고 말함']",246,8,0,https://finance.naver.com/item/board_read.naver?code=004100&nid=303957220&st=&sw=&page=16,21대,한동훈,인맥주,2025-05-03,2025-06-10
태양금속,004100,2025-06-09,급등햇네 상한가네,triv****,태양이 낼 이빠이 상,[],92,3,1,https://finance.naver.com/item/board_read.naver?code=004100&nid=303956037&st=&sw=&page=16,21대,한동훈,인맥주,2025-05-03,2025-06-10
태양금속,004100,2025-06-09,깐죽이 가발 다듬고..,chaa****,어깨뽕 챙기고..키높이 구두닦고.. 주댕이 풀고..당대표 출마 준비중..?.ㅋㅋ,[],76,4,0,https://finance.naver.com/item/board_read.naver?code=004100&nid=303955862&st=&sw=&page=16,21대,한동훈,인맥주,2025-05-03,2025-06-10
태양금속,004100,2025-06-09,태양금속 말고 금비 상갈듯,ak******,태양금속 말고 금비 상갈듯,[],91,1,1,https://finance.naver.com/item/board_read.naver?code=004100&nid=303948780&st=&sw=&page=16,21대,한동훈,인맥주,2025-05-03,2025-06-10
태양금속,004100,2025-06-09,역시 이재명,za******,이재명이 대통령 되니 한국 증시는 날개를 달고 날아가는구나. 이재명 잘한다 ~~^^,"['일시적인거다.. 무식아', '다오르는디 요거만 안올라.. 자개감이든다']",199,10,2,https://finance.naver.com/item/board_read.naver?code=004100&nid=303946891&st=&sw=&page=16,21대,한동훈,인맥주,2025-05-03,2025-06-10
태양금속,004100,2025-06-09,김문수가 대선후보된것도 코미디인데,my******,어디 당대표까지 ㅋㅋㅋ 완전 말아 드실려고 작정..뭐 이름모를 소규모 정당 느낌,[],137,8,0,https://finance.naver.com/item/board_read.naver?code=004100&nid=303937618&st=&sw=&page=16,21대,한동훈,인맥주,2025-05-03,2025-06-10
태양금속,004100,2025-06-09,문수할아버지 고집있네,leol****,은퇴해야지 은퇴안하시고 고집있네요 ㅋㅋㅋㅋㅋㅋ 그래서 119전화하셨나 늙다리정치 그만좀보고싶다,"['어르신들 말로는 세상 다 산 것처럼 말하지만 노욕이 얼마나 쎈지 정치를 보면 알게 됨 ㅋㅋㅋ', '정치그만두믄 바로 내란공범으로 구속되거든...그래서 성동이도 문수도 자리를 안내놓으려고그러는겨', '노욕은 인생을 망쳐요 좋은 정치잉으로 남기를~']",223,8,1,https://finance.naver.com/item/board_read.naver?code=004100&nid=303934373&st=&sw=&page=16,21대,한동훈,인맥주,2025-05-03,2025-06-10
