stock_name,stock_code,article_date,article_title,article_nickname,article_content,article_comments,article_viewers,article_likes,article_dislikes,article_url,vote_election,vote_candidate,vote_category,vote_start_date,vote_end_date
경남스틸,039240,2025-06-10,홍카,yys3****,감옥이라도 갔냐 시간외 와이리 개폭락 하지 누가 사정없이 던졌네 개 짭주 낼 몇일 오른것 다 빼것네,"['몇주 거래되지도 않았고만 호들갑은', '1프로 떨어진거로 개폭락이래 ㅋㅋㅋㅋㅋ', '신용 나갔나보지뭐']",356,8,0,https://finance.naver.com/item/board_read.naver?code=039240&nid=304033304&st=&sw=&page=6,21대,홍준표,인맥주,2025-05-03,2025-06-10
경남스틸,039240,2025-06-10,욕나오네,whit****,홍씨 좋아하는 사람도 아닌데 단타하다가 물려서 알아보니 홍씨네 그때 그기분 누가ㅜ알까 !!!!ㅋㅋㅋ 에라이 더러운 종목에 내돈이 절대 장중에 들어가면 개고생한다,['시간외 500주 투매하신분?'],289,5,0,https://finance.naver.com/item/board_read.naver?code=039240&nid=304028907&st=&sw=&page=6,21대,홍준표,인맥주,2025-05-03,2025-06-10
경남스틸,039240,2025-06-10,준표복귀에 명태 부들부들,go******,경남스틸 자체적으론 나름 나쁘지않은 종목인데 아직 준표의 망령에서 자유롭지못한듯. 정치테마가 애한텐 독이야...,"['명씨가 이처럼 폭로를 예고하고 나서면서 현재 미국에 체류하며 보수 정계개편을 주도하겠다는 의중을 드러냈던 홍 전 시장은 난감한 처지가 된 양상이다. 이미 대구 경찰은 홍 전 시장에게 귀국하는대로 출석해 조사를 받으라고 통고한 상태다.', '명태균씨는 9일 ""특검에서 홍준표 전 대구시장에 관련된 사안을 낱낱이 밝히겠다""고 말했다.']",296,4,0,https://finance.naver.com/item/board_read.naver?code=039240&nid=304019471&st=&sw=&page=6,21대,홍준표,인맥주,2025-05-03,2025-06-10
경남스틸,039240,2025-06-10,신당?,kiss****,아마 신당한다면 상 한번정도는 가지 않을까요?,['언제 하시려나 창당을'],285,1,4,https://finance.naver.com/item/board_read.naver?code=039240&nid=304014103&st=&sw=&page=6,21대,홍준표,인맥주,2025-05-03,2025-06-10
경남스틸,039240,2025-06-10,특검 명태균읍다~3300아래 모아두삼요~,1102****,ㅎㅎㅎ,[],184,2,3,https://finance.naver.com/item/board_read.naver?code=039240&nid=303985000&st=&sw=&page=6,21대,홍준표,인맥주,2025-05-03,2025-06-10
경남스틸,039240,2025-06-09,홍준표는 그나이 처먹고,rnlt****,빵에가야지,['NM2'],332,5,10,https://finance.naver.com/item/board_read.naver?code=039240&nid=303961519&st=&sw=&page=6,21대,홍준표,인맥주,2025-05-03,2025-06-10
경남스틸,039240,2025-06-10,홍준표는 그나이 처먹고,dnjs****,사람을 잘못 보았구나. 영감아 당신이 입이 제대로 달렸으면 그 말은 비겁한 윤석열이 에게로 하셔야지. 세상에 윤석열의 비겁한 행동이 말이 되는가. 명령을 내린 놈은 영화나 쳐보고 개와 산책하며 백주 대낮에 활보하고 다니는데 명령에 따른 장군들은 모조리 감옥에 있다는게 말이 되는가 말이다.,[],162,7,1,https://finance.naver.com/item/board_read.naver?code=039240&nid=303965887&st=&sw=&page=6,21대,홍준표,인맥주,2025-05-03,2025-06-10
경남스틸,039240,2025-06-10,홍준표는 그나이 처먹고,lz******,이재명...같은 범죄자를 대통령 만들어준것이 윤석열...개마구리이다.,[],52,2,2,https://finance.naver.com/item/board_read.naver?code=039240&nid=304010334&st=&sw=&page=6,21대,홍준표,인맥주,2025-05-03,2025-06-10
경남스틸,039240,2025-06-09,준표형 컴백홈~,jude****,나도 컴백홈~,[],229,2,1,https://finance.naver.com/item/board_read.naver?code=039240&nid=303936184&st=&sw=&page=6,21대,홍준표,인맥주,2025-05-03,2025-06-10
경남스틸,039240,2025-06-09,돌아와 돌아아와 준표성님 돌아아아~~ 와.,dnjs****,곧 홍시장님 돌아오십니다. 내란수괴 놈들이 망해가고 찐보수 홍준표 돌아오십니다.,[],182,1,0,https://finance.naver.com/item/board_read.naver?code=039240&nid=303934651&st=&sw=&page=6,21대,홍준표,인맥주,2025-05-03,2025-06-10
경남스틸,039240,2025-06-09,경남스틸 보다 금비 무증발표,vo******,경남스틸 보다 금비 무증발표,[],184,0,0,https://finance.naver.com/item/board_read.naver?code=039240&nid=303930413&st=&sw=&page=6,21대,홍준표,인맥주,2025-05-03,2025-06-10
경남스틸,039240,2025-06-09,5층입니다,tpgn****,....현기증나,"['8층이야.,..', '프로그램 형님들 한번만 살려줍쇼', '한번 갈것 같은데. 프로그램도 사고 팔고 계속 하는구만']",272,2,1,https://finance.naver.com/item/board_read.naver?code=039240&nid=303920612&st=&sw=&page=7,21대,홍준표,인맥주,2025-05-03,2025-06-10
경남스틸,039240,2025-06-09,창당을 하던말던,kmc1****,홍카콜라 정치생명은 끝난거 아닌가 ㅋㅋ,[],223,6,4,https://finance.naver.com/item/board_read.naver?code=039240&nid=303919154&st=&sw=&page=7,21대,홍준표,인맥주,2025-05-03,2025-06-10
경남스틸,039240,2025-06-09,속보 홍준표 신당창당 ㅋㅋ 이렇게 부활하네,kkrn****,와ㅋㅋ https://n.news.naver.com/mnews/article/088/0000952216?sid=100,"['애초에 정계은퇴가 아니라 그냥 삐쳐서 간거지 ㅋㅋㅋ 은퇴면 미국을 왜가', '장전에 나온거구만', '힘내라 한국선재 역전한번 해야지']",425,4,0,https://finance.naver.com/item/board_read.naver?code=039240&nid=303918940&st=&sw=&page=7,21대,홍준표,인맥주,2025-05-03,2025-06-10
경남스틸,039240,2025-06-09,알래스카 lng,seny****,K철강 간다.,[],78,1,0,https://finance.naver.com/item/board_read.naver?code=039240&nid=303918786&st=&sw=&page=7,21대,홍준표,인맥주,2025-05-03,2025-06-10
경남스틸,039240,2025-06-09,선재만이,son7****,오이소,[],91,0,0,https://finance.naver.com/item/board_read.naver?code=039240&nid=303910564&st=&sw=&page=7,21대,홍준표,인맥주,2025-05-03,2025-06-10
경남스틸,039240,2025-06-09,"한국선재, 이재명표 ‘에너지 고속도로’ 급부상에 19%↑[특징주]",time****,ㅋㅋㅋ,[],129,0,0,https://finance.naver.com/item/board_read.naver?code=039240&nid=303909121&st=&sw=&page=7,21대,홍준표,인맥주,2025-05-03,2025-06-10
경남스틸,039240,2025-06-09,선재 발톱때,son7****,ㅋ,[],63,0,0,https://finance.naver.com/item/board_read.naver?code=039240&nid=303906027&st=&sw=&page=7,21대,홍준표,인맥주,2025-05-03,2025-06-10
경남스틸,039240,2025-06-09,선재 업고 날아가는데..,sypr****,경남이는 기어가네 ㅋㅋ 2자리수 상승 본지 언제냐~,[],64,0,0,https://finance.naver.com/item/board_read.naver?code=039240&nid=303901445&st=&sw=&page=7,21대,홍준표,인맥주,2025-05-03,2025-06-10
경남스틸,039240,2025-06-09,홍카가 아갈털수록 올라간다,9366****,ㅋㅋㅋ,[],57,0,0,https://finance.naver.com/item/board_read.naver?code=039240&nid=303900474&st=&sw=&page=7,21대,홍준표,인맥주,2025-05-03,2025-06-10
경남스틸,039240,2025-06-09,경남스틸 보다 금비 무증발표,ju_a****,경남스틸 보다 금비 무증발표,[],56,0,0,https://finance.naver.com/item/board_read.naver?code=039240&nid=303899007&st=&sw=&page=7,21대,홍준표,인맥주,2025-05-03,2025-06-10
경남스틸,039240,2025-06-09,Must come back 홍,muso****,기대주,[],46,0,0,https://finance.naver.com/item/board_read.naver?code=039240&nid=303896328&st=&sw=&page=7,21대,홍준표,인맥주,2025-05-03,2025-06-10
경남스틸,039240,2025-06-09,철강 섹터 분위기 좋은데 ㅋㅋ,sypr****,이통이 럼프만나면 관세 깍으면서 알래스카 받을 것 같음 이통은 최소 비용으로 하는 시늉만 하고~ 경남이는 힘이 좀 딸리겠지만~ 가격 매리트가 있음,[],66,0,0,https://finance.naver.com/item/board_read.naver?code=039240&nid=303893293&st=&sw=&page=7,21대,홍준표,인맥주,2025-05-03,2025-06-10
경남스틸,039240,2025-06-09,[삭제된 게시물의 답글]배당도 주고 좋은회사네 4프로대방 ㅎㄷㄷㄷ,kijm****,보수괴멸되서 할것도 같긴하네요...명분도 생기는 분위기고,[],42,0,0,https://finance.naver.com/item/board_read.naver?code=039240&nid=303895317&st=&sw=&page=7,21대,홍준표,인맥주,2025-05-03,2025-06-10
경남스틸,039240,2025-06-07,ㅋㅋ아직도 홍준표ㅋㅋ,ao******,왜? 누가 총리라도 시켜준대냐? 진짜 정테주물린애들은 답이없구나,[],355,4,0,https://finance.naver.com/item/board_read.naver?code=039240&nid=303874372&st=&sw=&page=7,21대,홍준표,인맥주,2025-05-03,2025-06-10
경남스틸,039240,2025-06-06,어떤 명분으로 슈팅 줄련지,ks******,기대반 걱정반임 외인계속 매수중인데 어떻게 말아 올릴련지,['알래스카 lng 협상시작'],715,3,1,https://finance.naver.com/item/board_read.naver?code=039240&nid=303859218&st=&sw=&page=7,21대,홍준표,인맥주,2025-05-03,2025-06-10
경남스틸,039240,2025-06-06,"1Q 실적, 전년 대비 영익 9.5%증~",tay4****,"경스는 정치테마주가 아니라 실적, 고배당주~~~~~~",[],621,10,1,https://finance.naver.com/item/board_read.naver?code=039240&nid=303850634&st=&sw=&page=7,21대,홍준표,인맥주,2025-05-03,2025-06-10
경남스틸,039240,2025-06-05,"홍 이즈 백, 코미디가 따로없네 ㅋㅋ",show****,"[단독] 홍준표, 6월 중순 돌아온다…“해산될 정당 국힘에 돌아갈 이유 있나”",[],709,1,0,https://finance.naver.com/item/board_read.naver?code=039240&nid=303837160&st=&sw=&page=7,21대,홍준표,인맥주,2025-05-03,2025-06-10
경남스틸,039240,2025-06-05,긴말 한번만한다,whtj****,긴말,[],641,0,0,https://finance.naver.com/item/board_read.naver?code=039240&nid=303832582&st=&sw=&page=7,21대,홍준표,인맥주,2025-05-03,2025-06-10
경남스틸,039240,2025-06-05,새로 왔어요.,star****,4천원까지만 올려주세요. 꾸벅. macd 올라 가는게 이뻐 보여서 왔어요.,[],409,0,0,https://finance.naver.com/item/board_read.naver?code=039240&nid=303829036&st=&sw=&page=7,21대,홍준표,인맥주,2025-05-03,2025-06-10
경남스틸,039240,2025-06-05,[삭제된 게시물의 답글]홍준표,dnjs****,영감 영감이 사기경선 당해봤어? 내란수괴 부부한테 당해나 보고 우리 홍시장님을 욕하든지 해라.,[],90,0,1,https://finance.naver.com/item/board_read.naver?code=039240&nid=303821352&st=&sw=&page=7,21대,홍준표,인맥주,2025-05-03,2025-06-10
경남스틸,039240,2025-06-05,다시,seny****,대선치르는거 아이가?,['상태 안좋네. 얼른 정신병원에 가봐라.'],149,4,0,https://finance.naver.com/item/board_read.naver?code=039240&nid=303803288&st=&sw=&page=8,21대,홍준표,인맥주,2025-05-03,2025-06-10
경남스틸,039240,2025-06-05,가자 가자,l621****,가~~~~즈아,['금지어입니다'],125,0,0,https://finance.naver.com/item/board_read.naver?code=039240&nid=303798616&st=&sw=&page=8,21대,홍준표,인맥주,2025-05-03,2025-06-10
경남스틸,039240,2025-06-05,준뾰 은퇴로. 그냥 잡주된거임,2015****,딴데서 돈 벌어야지,['홍은 동아올거다'],175,0,0,https://finance.naver.com/item/board_read.naver?code=039240&nid=303785129&st=&sw=&page=8,21대,홍준표,인맥주,2025-05-03,2025-06-10
경남스틸,039240,2025-06-04,진짜 궁금해서 그런데,ks******,"이거 외인이 왜사고있는지 아시는분?,!?","['심심해서요', 'Because I love junpyo.', '매동에 집착하면 패가망신 참고 바랍니다', '실적만 봐도 지금 시총이 말이되나?저pbr에 유보율 봐라. 준표에 엮여 저평가', '뭔가 있다는거지']",619,2,1,https://finance.naver.com/item/board_read.naver?code=039240&nid=303760112&st=&sw=&page=8,21대,홍준표,인맥주,2025-05-03,2025-06-10
경남스틸,039240,2025-06-04,껄껄껄 오늘 대폭등이네,ao******,0.14퍼센트ㅋㅋㅋ 아직도 홍준표찾으면서 자위하는애들이 있다는게 소름이다ㅋㅋ,[],218,3,1,https://finance.naver.com/item/board_read.naver?code=039240&nid=303756690&st=&sw=&page=8,21대,홍준표,인맥주,2025-05-03,2025-06-10
경남스틸,039240,2025-06-04,"""알리에서 부품이 5일 만에 와요"" 수많은 제조업 숙련공들은 이제 어디서 일해야 하나... 무너지는 제조업, 경제의 뿌리가 흔들리고 있다",re******,"""알리에서 부품이 5일 만에 와요"" 수많은 제조업 숙련공들은 이제 어디서 일해야 하나... 무너지는 제조업, 경제의 뿌리가 흔들리고 있다 https://youtu.be/kUyO85Jz-_M?si=Cf0kv5EGKj8lFF3p",[],216,1,0,https://finance.naver.com/item/board_read.naver?code=039240&nid=303753733&st=&sw=&page=8,21대,홍준표,인맥주,2025-05-03,2025-06-10
경남스틸,039240,2025-06-04,동훈,extr****,이와 준표 둘 중 하나가 국짐당을 바꿔야 하는데. 쌍권은 책임지고 물러나고,['대체 탈당한사람이 무슨 책임을 지고 당을 바꾸냐 ㅋㅋㅋ 헛소리도 작작이다 진짜 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ'],282,5,2,https://finance.naver.com/item/board_read.naver?code=039240&nid=303731999&st=&sw=&page=8,21대,홍준표,인맥주,2025-05-03,2025-06-10
