stock_name,stock_code,article_date,article_title,article_nickname,article_content,article_comments,article_viewers,article_likes,article_dislikes,article_url,vote_election,vote_candidate,vote_category,vote_start_date,vote_end_date
﻿일성건설,013360,2022-03-16,범양건영,dhks****,상찍었다 뭐하냐 일성아 듀오 아니엿냐~,['안과가봐요'],282,0,0,https://finance.naver.com/item/board_read.naver?code=013360&nid=216381112&st=&sw=&page=538,20대,이재명,정책주,2022-02-05,2022-03-16
일성건설,013360,2022-03-16,4000까지는 걍,seog****,가것다,[],151,3,0,https://finance.naver.com/item/board_read.naver?code=013360&nid=216379631&st=&sw=&page=538,20대,이재명,정책주,2022-02-05,2022-03-16
일성건설,013360,2022-03-16,"남들 ""예"" 할때 넌 ""아니요"" 구나..ㅋㅋㅋ",as95****,가자~,['상찍어보자~'],140,0,1,https://finance.naver.com/item/board_read.naver?code=013360&nid=216378326&st=&sw=&page=538,20대,이재명,정책주,2022-02-05,2022-03-16
일성건설,013360,2022-03-16,범양이보다 더 일찍 반응왔는데 왜 똘마니가 ?노,rhtm****,범양이가 일성이보다 아래엿는데 ㅠ,[],155,0,1,https://finance.naver.com/item/board_read.naver?code=013360&nid=216377946&st=&sw=&page=538,20대,이재명,정책주,2022-02-05,2022-03-16
일성건설,013360,2022-03-16,니들이 바닥이 어딘지 어떻게 아는데,chj3****,신도 모르는걸 말여.. 그래서 주식은 같은가격이라도 떨어질때 사는게 아니고 오를때 사는거여.,['오를때는아냐?'],272,0,3,https://finance.naver.com/item/board_read.naver?code=013360&nid=216350788&st=&sw=&page=538,20대,이재명,정책주,2022-02-05,2022-03-16
일성건설,013360,2022-03-15,현대건설로,y3******,텨라,[],182,0,1,https://finance.naver.com/item/board_read.naver?code=013360&nid=216339993&st=&sw=&page=538,20대,이재명,정책주,2022-02-05,2022-03-16
일성건설,013360,2022-03-15,바닥이 아니였어 젠장할 ㅡㅡ,3s1j****,ㅋㅋ 환장 하긋네 ㅋㅋ,['그러네여....'],489,6,0,https://finance.naver.com/item/board_read.naver?code=013360&nid=216322295&st=&sw=&page=538,20대,이재명,정책주,2022-02-05,2022-03-16
일성건설,013360,2022-03-15,아,jjj2****,욕나오내 시방,[],192,1,0,https://finance.naver.com/item/board_read.naver?code=013360&nid=216317410&st=&sw=&page=538,20대,이재명,정책주,2022-02-05,2022-03-16
일성건설,013360,2022-03-15,아리가또좃대마시,zzz1****,니미을,[],169,0,0,https://finance.naver.com/item/board_read.naver?code=013360&nid=216315681&st=&sw=&page=538,20대,이재명,정책주,2022-02-05,2022-03-16
일성건설,013360,2022-03-15,진짜,ljjl****,욕나오네 쓰레기 노란머리 개종자들!,[],154,0,0,https://finance.naver.com/item/board_read.naver?code=013360&nid=216314262&st=&sw=&page=538,20대,이재명,정책주,2022-02-05,2022-03-16
일성건설,013360,2022-03-15,T머니 ㅈㅅㅂ,dr******,리딩방에 100% 매수 5800~6000 자기가준 물린 -20%~30% 종목을 손절 싸인 하고 매수 시켜서 현재 최소50~60% 손실 일텐데 텔레그램으로 리딩 다시 한다고 오라고 했단다 양심이 있냐 리딩방 사기에 속지 마세요,['리빙당 80~90프로가 세력들 개 알바임~ 조심들 하삼'],267,4,1,https://finance.naver.com/item/board_read.naver?code=013360&nid=216309768&st=&sw=&page=538,20대,이재명,정책주,2022-02-05,2022-03-16
일성건설,013360,2022-03-15,바닥으로 생각하고 지수 2630 포인트에 3760 (2855) 매수 합니다,qord****,큰돈 벌어 봇시다....... 모두 성투,[],283,3,0,https://finance.naver.com/item/board_read.naver?code=013360&nid=216309068&st=&sw=&page=538,20대,이재명,정책주,2022-02-05,2022-03-16
일성건설,013360,2022-03-15,포기..,kore****,이제들 포기하고 다른 건설주로 갈아타세요~삼성물산.GS건설.대림건설...좋다. 이재명 한테 미련 버려요,['나도 이재명 지지해 물타기 하면서 끝까지 보고간 주식인데 이제는 답이 없네 참 허탈 ㅎㅎ'],309,3,0,https://finance.naver.com/item/board_read.naver?code=013360&nid=216302568&st=&sw=&page=538,20대,이재명,정책주,2022-02-05,2022-03-16
