stock_name,stock_code,article_date,article_title,article_nickname,article_content,article_comments,article_viewers,article_likes,article_dislikes,article_url,vote_election,vote_candidate,vote_category,vote_start_date,vote_end_date
﻿윌비스,008600,2025-06-10,액면가 천원인 주식,bbum****,언젠가는 액면가는 넘겠지,['언젠가는 상폐'],255,5,1,https://finance.naver.com/item/board_read.naver?code=008600&nid=303985405&st=&sw=&page=8,21대,김문수,인맥주,2025-05-03,2025-06-10
윌비스,008600,2025-06-10,좋은하루,2768****,언젠가는 한번 오겠지~ 이것만 물렸냐 다물렸지뭐~ 기다려보자 어차피 모아니면 도~,"['세월 보내다보면 상폐될 좋은 날도 오지', '여기서 빽도나오는건 상폐겠죠 뭐']",232,1,1,https://finance.naver.com/item/board_read.naver?code=008600&nid=303978040&st=&sw=&page=8,21대,김문수,인맥주,2025-05-03,2025-06-10
윌비스,008600,2025-06-10,지들맘대로구나 가볍다,mast****,참 이정도로 깃털이 동전주매력이지,[],111,0,0,https://finance.naver.com/item/board_read.naver?code=008600&nid=303974186&st=&sw=&page=8,21대,김문수,인맥주,2025-05-03,2025-06-10
윌비스,008600,2025-06-10,"이재명표 추경 방향 경기부양·민생안정·일자리…""속도감 있게 편성""",jjs3****,"[파이낸셜뉴스] 이재명 대통령이 경기회복을 위한 속도감 있는 추가경정예산안 편성을 지시한 가운데, 추경 편성 주요 기조는 경기부양, 민생안정, 일자리(취업)가 될 것으로 보인다. 일자리 정책 지금부터 가보자구",[],153,1,0,https://finance.naver.com/item/board_read.naver?code=008600&nid=303970395&st=&sw=&page=8,21대,김문수,인맥주,2025-05-03,2025-06-10
윌비스,008600,2025-06-09,차트가 고가에 많이물린사람도있을건데,mast****,글 조회수랑 댓글보면 다들 양반들만 있으시네,['무념무상'],377,6,0,https://finance.naver.com/item/board_read.naver?code=008600&nid=303949810&st=&sw=&page=8,21대,김문수,인맥주,2025-05-03,2025-06-10
윌비스,008600,2025-06-09,진짜,comm****,맨날 윗꼬리... 재수 옴붙은 종목,[],297,2,1,https://finance.naver.com/item/board_read.naver?code=008600&nid=303936618&st=&sw=&page=8,21대,김문수,인맥주,2025-05-03,2025-06-10
윌비스,008600,2025-06-09,아 쫌,comm****,이러다 상폐 당한다 모자란것들아 쫌 올려라,[],349,3,1,https://finance.naver.com/item/board_read.naver?code=008600&nid=303929908&st=&sw=&page=8,21대,김문수,인맥주,2025-05-03,2025-06-10
윌비스,008600,2025-06-09,구직자 1인당 일자리 수 IMF 이후 27년 만에 5월 기준 최저,jjs3****,일자리 정책이 안 나올수 없지.,[],351,4,1,https://finance.naver.com/item/board_read.naver?code=008600&nid=303927875&st=&sw=&page=8,21대,김문수,인맥주,2025-05-03,2025-06-10
윌비스,008600,2025-06-09,오늘은 안쏘나,kor_****,쏴줘라 좀,['에르코스가 대장이네요.'],265,0,0,https://finance.naver.com/item/board_read.naver?code=008600&nid=303917200&st=&sw=&page=8,21대,김문수,인맥주,2025-05-03,2025-06-10
윌비스,008600,2025-06-09,일자리는 이제 시작이네요,bbum****,차트가,[],232,8,0,https://finance.naver.com/item/board_read.naver?code=008600&nid=303902528&st=&sw=&page=8,21대,김문수,인맥주,2025-05-03,2025-06-10
윌비스,008600,2025-06-09,민주당 경제회생이 제1순위 발표,7420****,알자리 창출 대책나온다. 윌비스 최고 수혜주.. 상한가 가자!,[],178,6,0,https://finance.naver.com/item/board_read.naver?code=008600&nid=303894203&st=&sw=&page=8,21대,김문수,인맥주,2025-05-03,2025-06-10
