stock_name,stock_code,article_date,article_title,article_nickname,article_content,article_comments,article_viewers,article_likes,article_dislikes,article_url,vote_election,vote_candidate,vote_category,vote_start_date,vote_end_date
﻿삼보산업,009620,2025-06-10,어제의 바보가 오늘의 바보에게 파는 종목,sinb****,이름하여 바보산업,[],301,10,2,https://finance.naver.com/item/board_read.naver?code=009620&nid=304015519&st=&sw=&page=4,21대,이준석,인맥주,2025-05-03,2025-06-10
삼보산업,009620,2025-06-10,삼보피똥싸네.,dheo****,문다자,[],213,2,0,https://finance.naver.com/item/board_read.naver?code=009620&nid=303993286&st=&sw=&page=4,21대,이준석,인맥주,2025-05-03,2025-06-10
삼보산업,009620,2025-06-09,준서기 제명 청원 링크,sinb****,https://petitions.assembly.go.kr/proceed/onGoingAll/327534C853DF2656E064B49691C1987F 곧 청원인 50만명 달성 51000표 얻어서 동탄 의원된 준서기 50만표 얻어서 제명되게 생김 ㅋㅋㅋㅋㅋㅋ 준서기한테 당한 준천지들까지 합세하자!,[],360,9,1,https://finance.naver.com/item/board_read.naver?code=009620&nid=303952395&st=&sw=&page=4,21대,이준석,인맥주,2025-05-03,2025-06-10
삼보산업,009620,2025-06-09,거래량도 없는,star****,단일가 저기에 혹해서 들어갔다가 순식간에 계좌 -10퍼 된다이,[],336,5,1,https://finance.naver.com/item/board_read.naver?code=009620&nid=303947338&st=&sw=&page=4,21대,이준석,인맥주,2025-05-03,2025-06-10
삼보산업,009620,2025-06-09,단일가 뭐냐 상한가근처에서 노네,kimo****,"음,,,",[],217,1,2,https://finance.naver.com/item/board_read.naver?code=009620&nid=303946916&st=&sw=&page=4,21대,이준석,인맥주,2025-05-03,2025-06-10
삼보산업,009620,2025-06-09,상한가?,qk******,단일가 뭔일인나??,[],190,1,1,https://finance.naver.com/item/board_read.naver?code=009620&nid=303945369&st=&sw=&page=4,21대,이준석,인맥주,2025-05-03,2025-06-10
삼보산업,009620,2025-06-09,삼보산업 보단 금비 무상증자,vega****,삼보산업 보단 금비 무상증자,[],88,1,0,https://finance.naver.com/item/board_read.naver?code=009620&nid=303915812&st=&sw=&page=4,21대,이준석,인맥주,2025-05-03,2025-06-10
삼보산업,009620,2025-06-08,망했다 망했다 망했다,pjm6****,손실이 얼마야80%손실이다 낙동강 지옥보다더한 나락이보인다. 어떡게해야되나요,"['관종임 이전글 봐요', '무념무상']",433,10,0,https://finance.naver.com/item/board_read.naver?code=009620&nid=303880741&st=&sw=&page=4,21대,이준석,인맥주,2025-05-03,2025-06-10
삼보산업,009620,2025-06-08,젓준석 청원34만 돌파 ㄷㄷㄷ,jin0****,사람들 참 무섭네 난 귀찮아서라도 안하는데. 34만이다..와 대박,[],249,2,0,https://finance.naver.com/item/board_read.naver?code=009620&nid=303879207&st=&sw=&page=4,21대,이준석,인맥주,2025-05-03,2025-06-10
삼보산업,009620,2025-06-07,가덕도,cku3****,신공항 이재명 빠른 추진,[],411,5,0,https://finance.naver.com/item/board_read.naver?code=009620&nid=303870904&st=&sw=&page=4,21대,이준석,인맥주,2025-05-03,2025-06-10
삼보산업,009620,2025-06-06,"준석이,,뉴스에서,,",star****,"의원제명 절차,,,, 너는,,촉새입때문에 망했다,,,, 학원이나차려라,,,,","['ㅋㅋ그럼 원인제공자도 같이하면 ㅇㅈ', '아닌데']",583,5,0,https://finance.naver.com/item/board_read.naver?code=009620&nid=303862953&st=&sw=&page=5,21대,이준석,인맥주,2025-05-03,2025-06-10
삼보산업,009620,2025-06-05,이제 정치 관련주로 끝났으면,koko****,니 갈길 가라 쫌~~~~~~~~,['채무가 820%가 넘는 이런 소기업은...일어나기 힘들다.유증을 하면 몰라도...'],669,6,3,https://finance.naver.com/item/board_read.naver?code=009620&nid=303791625&st=&sw=&page=5,21대,이준석,인맥주,2025-05-03,2025-06-10
삼보산업,009620,2025-06-04,100만원 투자 25만원 손해,lhms****,간보는 중 언제 물탈지,[],250,0,0,https://finance.naver.com/item/board_read.naver?code=009620&nid=303754284&st=&sw=&page=5,21대,이준석,인맥주,2025-05-03,2025-06-10
삼보산업,009620,2025-06-04,1300. 너무 빠르게 오네^^,tele****,다음 목표 900. 다음 목표 유증. 다음 목표 감자. 다음 목표 2차 유증^^ 다음 목표 상폐 위기탈출 시도 ^^ 너무 뻔해요,['유증도 감자도 5천원은 간다'],321,3,1,https://finance.naver.com/item/board_read.naver?code=009620&nid=303740310&st=&sw=&page=5,21대,이준석,인맥주,2025-05-03,2025-06-10
삼보산업,009620,2025-06-04,[삭제된 게시물의 답글]입성 인사드립니다,star****,"이쿠~~~ㅈ 됐네요,,,",[],242,0,0,https://finance.naver.com/item/board_read.naver?code=009620&nid=303735952&st=&sw=&page=5,21대,이준석,인맥주,2025-05-03,2025-06-10
삼보산업,009620,2025-06-04,대전 유성 관광호텔,sinb****,준스기 떡접대 받은 곳 ㅋ,"['이런 뻘짓에 좋아요 배틀은 니들도 웃기지 않냐?', '열폭도 좀 그럴듯하게---재미라도 있든지---창의라도 있든지---선거기간 빼놨었다던 니들의 뇌는 다시, 장착들은 했냐?', '이 자들의 이준석 열폭은 언제까지 이어질까?', '2013년 빛나던 청춘 스타 프리랜서 이준석이가 성을 상납 받아?----에효, 이 늙은이들아, 찌질한 지들 27세를 연상하고 대비하며 뇌피셜로 즐기고 ---변태도 이런 변태들은 사회적으로 가정적으로 패악이 크겠다.', '할배들아---이준석에 대한 니들의 엄청난 시기와 질투로 인한 열등감은 니들도 부정 못하잖아 ----걍 이준석이 잘난 걸 인정하고 ---광명 찾거라---2013년 이준석이가 머리에 총을 맞았어도 ----니들처럼 대전 골짜기에서 성을 상납 받고 ?----2013년 무권력 애송이에게 성을 상납씩이나 하는 놈이 존재한다고?', '천박한데다 모자르기가 돌고래만도 못한 할배들아---윤석열이가 기소조차 못했던 희대의 공작질로---아직도 부흥회를?']",364,7,3,https://finance.naver.com/item/board_read.naver?code=009620&nid=303726843&st=&sw=&page=5,21대,이준석,인맥주,2025-05-03,2025-06-10
삼보산업,009620,2025-06-05,[삭제된 게시물의 답글]난 이게 말도 안되는게 마약으로 한물간 애딸린 여배우를,chai****,그당시 변호사 였는데 뭐가 아쉬워서 그게 말이 된다 생각하냐 그냥 술집만 가도 돈만 있음 20대 이쁜 술집아가씨들을 쉽게 만날수 있는 시절인데 난 믿기가 힘듬,[],62,1,0,https://finance.naver.com/item/board_read.naver?code=009620&nid=303814656&st=&sw=&page=5,21대,이준석,인맥주,2025-05-03,2025-06-10
삼보산업,009620,2025-06-04,법과 정치를 모른다만,ej******,적어도 IQ 뇌싸움이 아니고/ 잔머리 굴리는 뇌와/ 적당한 아부같다/ 건방떨어도 안되고/ 법으로만도 안되는 권력싸움판,[],116,0,0,https://finance.naver.com/item/board_read.naver?code=009620&nid=303715984&st=&sw=&page=5,21대,이준석,인맥주,2025-05-03,2025-06-10
삼보산업,009620,2025-06-04,물리신분들 방송추천으로 사셨죠?,earn****,방송 추천으로 샀다가. 수익인 기간은 짧고 손실인 기간은 길게 물려 계신 분들 반등 희망회로에 존버하다가 손실 확대가 대다수 일 것 같다는 생각이 듭니다. 전문가 믿지 마세요. 이미 버리고 다른 종목 계속 추천하던데.,[],104,1,0,https://finance.naver.com/item/board_read.naver?code=009620&nid=303714060&st=&sw=&page=5,21대,이준석,인맥주,2025-05-03,2025-06-10
삼보산업,009620,2025-06-04,삼보야~~~,koko****,이준석 상관없이 열심히 좀 일해라,[],78,0,0,https://finance.naver.com/item/board_read.naver?code=009620&nid=303712754&st=&sw=&page=5,21대,이준석,인맥주,2025-05-03,2025-06-10
삼보산업,009620,2025-06-04,이미 선반영된거 아니냐?,koko****,해도 해도 너무하네~,[],83,0,1,https://finance.naver.com/item/board_read.naver?code=009620&nid=303711159&st=&sw=&page=5,21대,이준석,인맥주,2025-05-03,2025-06-10
삼보산업,009620,2025-06-04,어제의 바보가 오늘의 바보에게 파는 종목,sinb****,바보에게 바보가 - 바보산업,[],90,2,0,https://finance.naver.com/item/board_read.naver?code=009620&nid=303706376&st=&sw=&page=5,21대,이준석,인맥주,2025-05-03,2025-06-10
