단어,빈도,점수,빈도정규화,유사도점수,최종점수
절감,32,0.8824,0.9999999677419364,0.76,0.8814
효율,32,0.9394,0.9999999677419364,0.76,0.9156
수주,29,0.871,0.9032257773152975,1.0,0.9032
판매량,24,0.5484,0.7419354599375658,0.76,0.6294
늘리다,23,1.0,0.7096773964620194,0.7,0.8819
각각,22,0.913,0.677419332986473,0.7,0.8233
장기,21,0.8261,0.6451612695109268,1.0,0.8247
긍정,21,0.9091,0.6451612695109268,0.76,0.8265
지난해,21,0.4,0.6451612695109268,0.76,0.521
성장하다,19,0.9,0.5806451425598341,0.76,0.8081
매우,19,0.8095,0.5806451425598341,1.0,0.8018
보이다,19,0.4615,0.5806451425598341,1.0,0.593
코네,18,0.44,0.5483870790842877,0.76,0.5257
맥주,18,0.7143,0.5483870790842877,0.76,0.6903
최고,18,0.5,0.5483870790842877,0.5,0.5097
로부터,18,1.0,0.5483870790842877,0.7,0.8497
좋다,18,0.8947,0.5483870790842877,1.0,0.8465
강화하다,18,1.0,0.5483870790842877,0.8462,0.8789
상당하다,18,0.5,0.5483870790842877,1.0,0.6097
수요,18,0.3846,0.5483870790842877,1.0,0.5404
확대,18,0.7143,0.5483870790842877,0.76,0.6903
올해,17,0.7,0.5161290156087414,0.76,0.6752
현금,17,0.36,0.5161290156087414,0.76,0.4712
발전,17,1.0,0.5161290156087414,1.0,0.9032
높다,17,0.5455,0.5161290156087414,0.76,0.5825
기쁘다,17,1.0,0.5161290156087414,0.76,0.8552
금속,16,0.6842,0.4838709521331951,1.0,0.7073
수준,16,0.3913,0.4838709521331951,0.76,0.4836
대표,16,1.0,0.4838709521331951,0.76,0.8488
흐름,16,0.5238,0.4838709521331951,0.76,0.5631
월간,16,0.3913,0.4838709521331951,0.76,0.4836
설치,16,1.0,0.4838709521331951,1.0,0.8968
입지,16,1.0,0.4838709521331951,0.76,0.8488
회계,16,0.1034,0.4838709521331951,0.76,0.3108
엔지니어링,15,0.875,0.45161288865764876,0.76,0.7673
지속,15,0.3043,0.45161288865764876,0.76,0.4249
대다,15,0.7647,0.45161288865764876,1.0,0.7491
올리다,15,0.875,0.45161288865764876,0.76,0.7673
강력하다,15,1.0,0.45161288865764876,0.76,0.8423
더욱,15,0.875,0.45161288865764876,0.76,0.7673
협약,15,1.0,0.45161288865764876,1.0,0.8903
오르다,15,0.7647,0.45161288865764876,0.76,0.7011
수치,15,0.5,0.45161288865764876,0.76,0.5423
향상,15,1.0,0.45161288865764876,1.0,0.8903
핀에어,15,0.3043,0.45161288865764876,0.76,0.4249
오른,15,0.5,0.45161288865764876,0.76,0.5423
사업자,15,0.875,0.45161288865764876,1.0,0.8153
자다,15,0.875,0.45161288865764876,1.0,0.8153
리터,14,0.75,0.4193548251821024,0.76,0.6859
리투아니아,14,1.0,0.4193548251821024,1.0,0.8839
처리,14,1.0,0.4193548251821024,1.0,0.8839
분기,14,0.3333,0.4193548251821024,0.7,0.4239
루키,14,0.75,0.4193548251821024,1.0,0.7339
합의,14,0.75,0.4193548251821024,0.76,0.6859
년도,14,0.0,0.4193548251821024,0.76,0.2359
기능,13,1.0,0.38709676170655605,0.76,0.8294
구조,13,0.8571,0.38709676170655605,0.3333,0.6583
경쟁,13,0.3684,0.38709676170655605,0.7999999999999999,0.4585
점유,13,0.3,0.38709676170655605,0.5,0.3574
조정,13,0.4444,0.38709676170655605,0.16881916185390097,0.3778
산림,13,0.625,0.38709676170655605,0.76,0.6044
급증,13,1.0,0.38709676170655605,0.76,0.8294
중요하다,13,1.0,0.38709676170655605,0.76,0.8294
소매,13,0.5294,0.38709676170655605,1.0,0.5951
통합,13,0.8571,0.38709676170655605,0.76,0.7437
선도,13,1.0,0.38709676170655605,1.0,0.8774
아시아,13,0.8571,0.38709676170655605,1.0,0.7917
비교,12,-0.2727,0.3548386982310097,0.76,0.0593
펄프,12,0.6,0.3548386982310097,0.76,0.583
이제,12,0.8462,0.3548386982310097,0.76,0.7307
능력,12,0.8462,0.3548386982310097,0.76,0.7307
조치,12,0.6,0.3548386982310097,0.76,0.583
국제,12,0.6,0.3548386982310097,1.0,0.631
승인,12,1.0,0.3548386982310097,0.76,0.823
타이어,12,1.0,0.3548386982310097,1.0,0.871
스포츠,12,0.5,0.3548386982310097,0.76,0.523
네스,12,0.7143,0.3548386982310097,1.0,0.6995
강화,12,0.8462,0.3548386982310097,0.8462,0.7479
모두,12,0.7143,0.3548386982310097,0.76,0.6515
카고텍,12,0.7143,0.3548386982310097,0.7,0.6395
용량,11,0.5714,0.3225806347554634,0.76,0.5594
납품,11,1.0,0.3225806347554634,1.0,0.8645
테크노,11,1.0,0.3225806347554634,0.27615618203414244,0.7197
승객,11,0.2222,0.3225806347554634,0.76,0.3498
추다,11,0.8333,0.3225806347554634,0.4666666666666666,0.6578
기존,11,0.6923,0.3225806347554634,0.76,0.6319
어제,11,0.8333,0.3225806347554634,0.76,0.7165
업그레이드,11,1.0,0.3225806347554634,1.0,0.8645
노르웨이,11,0.5714,0.3225806347554634,0.76,0.5594
효과,11,0.6923,0.3225806347554634,0.76,0.6319
성공,11,1.0,0.3225806347554634,1.0,0.8645
노르딕,11,0.6923,0.3225806347554634,0.76,0.6319
줄다,11,0.375,0.3225806347554634,0.76,0.4415
공정,11,0.4667,0.3225806347554634,0.76,0.4965
플랫폼,11,1.0,0.3225806347554634,1.0,0.8645
책임자,11,0.8333,0.3225806347554634,0.76,0.7165
영국,11,0.8333,0.3225806347554634,0.76,0.7165
높이다,11,1.0,0.3225806347554634,1.0,0.8645
엘리베이터,11,0.8333,0.3225806347554634,1.0,0.7645
성과,10,0.6667,0.29032257127991706,0.76,0.6101
반복,10,0.3333,0.29032257127991706,0.76,0.41
이사,10,0.8182,0.29032257127991706,0.0,0.549
엘리사,10,0.8182,0.29032257127991706,0.76,0.701
축소,10,1.0,0.29032257127991706,1.0,0.8581
측정,10,0.6667,0.29032257127991706,0.76,0.6101
체인,10,1.0,0.29032257127991706,0.3333,0.7247
연도,10,0.1111,0.29032257127991706,0.76,0.2767
달성,10,1.0,0.29032257127991706,0.76,0.8101
이자,10,0.4286,0.29032257127991706,0.76,0.4672
빠르다,10,1.0,0.29032257127991706,0.76,0.8101
상트페테르부르크,10,0.8182,0.29032257127991706,0.76,0.701
보안,10,1.0,0.29032257127991706,1.0,0.8581
보험,10,0.3333,0.29032257127991706,0.5111325734708255,0.3603
경험,10,1.0,0.29032257127991706,0.76,0.8101
일본,10,0.8182,0.29032257127991706,0.76,0.701
호조,10,1.0,0.29032257127991706,0.76,0.8101
메다,10,1.0,0.29032257127991706,0.7,0.7981
코퍼레이션,10,0.6667,0.29032257127991706,0.9333400000000001,0.6448
라미,10,0.8182,0.29032257127991706,0.76,0.701
렌트,10,0.8182,0.29032257127991706,1.0,0.749
전문,10,1.0,0.29032257127991706,1.0,0.8581
희다,10,0.4286,0.29032257127991706,0.76,0.4672
따내다,10,1.0,0.29032257127991706,0.6773177210877582,0.7935
기기,9,1.0,0.2580645078043707,0.76,0.8036
보수,9,0.8,0.2580645078043707,0.7,0.6716
디자인,9,0.8,0.2580645078043707,1.0,0.7316
식품,9,0.3846,0.2580645078043707,0.3846,0.3593
품질,9,1.0,0.2580645078043707,0.76,0.8036
연결,9,0.6364,0.2580645078043707,0.6364,0.5607
북미,9,0.8,0.2580645078043707,0.76,0.6836
프로세스,9,1.0,0.2580645078043707,1.0,0.8516
제지,9,0.5,0.2580645078043707,1.0,0.5516
라이,9,1.0,0.2580645078043707,0.928575,0.8373
전환,9,1.0,0.2580645078043707,0.76,0.8036
만족하다,9,1.0,0.2580645078043707,0.76,0.8036
연료,9,1.0,0.2580645078043707,1.0,0.8516
기대하다,9,0.6364,0.2580645078043707,1.0,0.6335
경쟁력,9,0.8,0.2580645078043707,0.3684,0.6053
의류,9,0.8,0.2580645078043707,0.76,0.6836
구축,9,1.0,0.2580645078043707,0.76,0.8036
키안,9,1.0,0.2580645078043707,0.76,0.8036
기준,9,0.2857,0.2580645078043707,0.76,0.375
아트리아,9,0.5,0.2580645078043707,0.8158851943513141,0.5148
브라질,9,0.8,0.2580645078043707,0.76,0.6836
신규,9,0.6364,0.2580645078043707,0.76,0.5855
동사,9,0.6364,0.2580645078043707,0.76,0.5855
아스,9,1.0,0.2580645078043707,0.7159525241362261,0.7948
라우,9,0.0588,0.2580645078043707,0.8571500000000001,0.2583
라팔,8,0.3333,0.22580644432882438,0.76,0.3971
광대역,8,0.6,0.22580644432882438,0.76,0.5572
많다,8,0.4545,0.22580644432882438,1.0,0.5179
추정,8,-0.1111,0.22580644432882438,0.76,0.1305
용품,8,0.7778,0.22580644432882438,0.76,0.6638
재무,8,1.0,0.22580644432882438,1.0,0.8452
관계,8,0.7778,0.22580644432882438,0.0,0.5118
진행,8,0.6,0.22580644432882438,1.0,0.6052
타루,8,0.1429,0.22580644432882438,0.76,0.2829
대의,8,1.0,0.22580644432882438,0.76,0.7972
맺다,8,1.0,0.22580644432882438,0.76,0.7972
바이킹,8,0.7778,0.22580644432882438,0.7658593737879901,0.665
항공사,8,0.3333,0.22580644432882438,0.7618950925163657,0.3975
보도,8,0.4545,0.22580644432882438,1.0,0.5179
주식회사,8,0.7778,0.22580644432882438,0.76,0.6638
덴마크,8,0.7778,0.22580644432882438,1.0,0.7118
철강,8,0.2308,0.22580644432882438,1.0,0.3836
에스토니아,8,0.1429,0.22580644432882438,0.7968497948653899,0.2903
출시,8,0.7778,0.22580644432882438,0.76,0.6638
입다,8,0.3333,0.22580644432882438,1.0,0.4451
유리,8,0.6,0.22580644432882438,1.0,0.6052
크레인,8,0.6,0.22580644432882438,1.0,0.6052
활용,8,0.7778,0.22580644432882438,0.7143,0.6547
최근,8,0.3333,0.22580644432882438,0.76,0.3971
항목,8,-0.2381,0.22580644432882438,1.0,0.1023
핵심,8,0.7778,0.22580644432882438,1.0,0.7118
제외,8,-0.2727,0.22580644432882438,0.76,0.0335
확보,8,0.7778,0.22580644432882438,0.76,0.6638
포인트,8,-0.3043,0.22580644432882438,0.76,0.0146
