단어,빈도,점수
절감,32,0.8824
효율,32,0.9394
수주,29,0.871
판매량,24,0.5484
늘리다,23,1.0
각각,22,0.913
장기,21,0.8261
긍정,21,0.9091
지난해,21,0.4
성장하다,19,0.9
매우,19,0.8095
보이다,19,0.4615
코네,18,0.44
맥주,18,0.7143
최고,18,0.5
로부터,18,1.0
좋다,18,0.8947
강화하다,18,1.0
상당하다,18,0.5
수요,18,0.3846
확대,18,0.7143
올해,17,0.7
현금,17,0.36
발전,17,1.0
높다,17,0.5455
기쁘다,17,1.0
금속,16,0.6842
수준,16,0.3913
대표,16,1.0
흐름,16,0.5238
월간,16,0.3913
설치,16,1.0
입지,16,1.0
회계,16,0.1034
엔지니어링,15,0.875
지속,15,0.3043
대다,15,0.7647
올리다,15,0.875
강력하다,15,1.0
더욱,15,0.875
협약,15,1.0
오르다,15,0.7647
수치,15,0.5
향상,15,1.0
핀에어,15,0.3043
오른,15,0.5
사업자,15,0.875
자다,15,0.875
리터,14,0.75
리투아니아,14,1.0
처리,14,1.0
분기,14,0.3333
루키,14,0.75
합의,14,0.75
년도,14,0.0
기능,13,1.0
구조,13,0.8571
경쟁,13,0.3684
점유,13,0.3
조정,13,0.4444
산림,13,0.625
급증,13,1.0
중요하다,13,1.0
소매,13,0.5294
통합,13,0.8571
선도,13,1.0
아시아,13,0.8571
비교,12,-0.2727
펄프,12,0.6
이제,12,0.8462
능력,12,0.8462
조치,12,0.6
국제,12,0.6
승인,12,1.0
타이어,12,1.0
스포츠,12,0.5
네스,12,0.7143
강화,12,0.8462
모두,12,0.7143
카고텍,12,0.7143
용량,11,0.5714
납품,11,1.0
테크노,11,1.0
승객,11,0.2222
추다,11,0.8333
기존,11,0.6923
어제,11,0.8333
업그레이드,11,1.0
노르웨이,11,0.5714
효과,11,0.6923
성공,11,1.0
노르딕,11,0.6923
줄다,11,0.375
공정,11,0.4667
플랫폼,11,1.0
책임자,11,0.8333
영국,11,0.8333
높이다,11,1.0
엘리베이터,11,0.8333
성과,10,0.6667
반복,10,0.3333
이사,10,0.8182
엘리사,10,0.8182
축소,10,1.0
측정,10,0.6667
체인,10,1.0
연도,10,0.1111
달성,10,1.0
이자,10,0.4286
빠르다,10,1.0
상트페테르부르크,10,0.8182
보안,10,1.0
보험,10,0.3333
경험,10,1.0
일본,10,0.8182
호조,10,1.0
메다,10,1.0
코퍼레이션,10,0.6667
라미,10,0.8182
렌트,10,0.8182
전문,10,1.0
희다,10,0.4286
따내다,10,1.0
기기,9,1.0
보수,9,0.8
디자인,9,0.8
식품,9,0.3846
품질,9,1.0
연결,9,0.6364
북미,9,0.8
프로세스,9,1.0
제지,9,0.5
라이,9,1.0
전환,9,1.0
만족하다,9,1.0
연료,9,1.0
기대하다,9,0.6364
경쟁력,9,0.8
의류,9,0.8
구축,9,1.0
키안,9,1.0
기준,9,0.2857
아트리아,9,0.5
브라질,9,0.8
신규,9,0.6364
동사,9,0.6364
아스,9,1.0
라우,9,0.0588
라팔,8,0.3333
광대역,8,0.6
많다,8,0.4545
추정,8,-0.1111
용품,8,0.7778
재무,8,1.0
관계,8,0.7778
진행,8,0.6
타루,8,0.1429
대의,8,1.0
맺다,8,1.0
바이킹,8,0.7778
항공사,8,0.3333
보도,8,0.4545
주식회사,8,0.7778
덴마크,8,0.7778
철강,8,0.2308
에스토니아,8,0.1429
출시,8,0.7778
입다,8,0.3333
유리,8,0.6
크레인,8,0.6
활용,8,0.7778
최근,8,0.3333
항목,8,-0.2381
핵심,8,0.7778
제외,8,-0.2727
확보,8,0.7778
포인트,8,-0.3043
선두,8,0.7778
발트해,8,0.0667
화학,8,1.0
크게,8,0.2308
자사,8,0.7778
지멘스,8,0.6
수출,8,0.4545
아연,8,1.0
작년,8,0.4545
여전하다,8,0.7778
이후,8,0.1429
이러하다,7,0.4
집중,7,1.0
방법,7,0.75
예측,7,0.75
상반기,7,-0.5882
영향,7,-0.3333
안정,7,1.0
엘코텍,7,0.0769
종이,7,0.5556
일환,7,0.75
선박,7,0.4
노하우,7,1.0
바이,7,0.5556
교통,7,0.4
스토,7,0.0
무선,7,1.0
다시,7,1.0
비바,7,0.75
오픈,7,1.0
그것,7,0.0769
스타,7,0.75
폰세,7,0.75
유통,7,1.0
회장,7,0.75
여러,7,1.0
케미,7,0.4
임대,7,0.75
가져오다,7,1.0
실리콘,7,0.75
인하다,7,-0.4167
접근,7,0.75
북유럽,7,0.75
맞추다,7,1.0
추산,7,0.2727
수입,7,0.1667
화물,7,0.5556
회원,7,0.75
텔리아소네라,7,1.0
운송,7,0.5556
들다,7,0.1667
구매,7,0.5556
해주다,7,0.75
오전,7,0.4
협정,7,1.0
인쇄,7,0.1667
오일,7,1.0
스폰다,7,1.0
이르다,7,0.75
바이오,7,0.2727
평균,6,0.7143
재활용,6,0.7143
엔소,6,0.0
시장점유율,6,0.5
사용자,6,0.2
협회,6,0.7143
라트비아,6,0.2
국내,6,0.3333
자신,6,0.5
인프라,6,1.0
라이선스,6,0.7143
강세,6,0.3333
조달,6,0.5
구조조정,6,0.3333
발생,6,0.0
올비,6,0.7143
완전하다,6,1.0
웨어,6,0.7143
열다,6,1.0
바스,6,0.7143
물류,6,0.7143
파이,6,0.3333
애플리케이션,6,1.0
인상,6,0.3333
에르,6,0.7143
전자제품,6,0.0909
리프,6,1.0
마리,6,0.5
섬유,6,0.5
히트,6,0.5
선택,6,1.0
에스컬레이터,6,1.0
케스코,6,1.0
기여,6,1.0
네트웍,6,0.7143
백화점,6,0.7143
스카,6,1.0
독일,6,0.3333
실현,6,1.0
향후,6,1.0
화요일,6,0.5
개국,6,1.0
최고경영자,6,0.5
범위,6,0.7143
해상,6,0.7143
니켈,6,0.7143
목적,6,1.0
환경,6,0.5
결합,6,1.0
가공,6,0.5
웨이퍼,6,0.7143
역량,6,1.0
피스,6,1.0
가능성,6,0.7143
마진,6,0.5
트리,6,1.0
선정,6,1.0
쇼핑,6,1.0
혁신,6,1.0
런던,6,0.5
전화,6,1.0
소비자,6,0.3333
투자자,6,0.0909
초점,6,1.0
자원,6,0.7143
맞춤,6,1.0
휴대,6,1.0
물량,6,0.7143
상향,6,1.0
덧붙이다,6,0.0
높이,6,1.0
푸다,6,1.0
분소,6,0.7143
신뢰,6,1.0
바르다,6,1.0
금요일,6,0.7143
약간,6,0.2
다만,6,0.5
모델,6,0.7143
라우트,6,0.7143
지도,5,1.0
동부,5,1.0
마감,5,-0.2308
무역,5,0.1111
항공,5,0.1111
린덱스,5,1.0
완료,5,0.6667
생각,5,0.6667
지식,5,1.0
마이너스,5,-0.1667
소비,5,0.6667
상품,5,0.6667
컨테이너,5,0.6667
정부,5,1.0
발주,5,1.0
용지,5,0.4286
목요일,5,0.4286
이어지다,5,0.4286
낮다,5,-0.2308
전기,5,0.6667
리스,5,1.0
비슷하다,5,0.6667
취급,5,0.4286
합리화,5,1.0
최종,5,1.0
관심,5,1.0
부의,5,0.25
지방,5,1.0
멕시코,5,1.0
세금,5,-0.0909
광산,5,0.4286
밉다,5,0.6667
탈린,5,0.4286
타마,5,1.0
보도자료,5,1.0
기르다,5,1.0
덕분,5,0.6667
기회,5,1.0
사람,5,0.1111
카자흐스탄,5,1.0
제작,5,1.0
전반,5,0.6667
간의,5,1.0
가정,5,1.0
상황,5,-0.2308
낸셜,5,0.25
합작,5,1.0
모스크바,5,1.0
인터넷,5,0.4286
컨설팅,5,0.6667
거두다,5,1.0
언급,5,0.6667
온라인,5,1.0
미래,5,0.6667
국영,5,1.0
끌다,5,0.6667
허가,5,1.0
대변인,5,1.0
아웃,5,1.0
살다,5,0.6667
도시,5,1.0
앞서,5,0.4286
음성,5,1.0
시오,5,1.0
디지털,5,1.0
시스,5,1.0
테크놀로지,5,0.6667
수오미,5,-0.0909
당사자,5,1.0
역할,5,1.0
베다,5,0.1111
내비게이션,5,1.0
마르텔,5,0.6667
상당,5,1.0
포이,5,1.0
광범위하다,5,1.0
완공,5,0.6667
보드,5,1.0
컨센서스,5,1.0
폴란드,5,0.6667
넘어서다,5,1.0
통신사,5,1.0
사인,5,0.4286
필요하다,5,0.1111
작업,5,0.4286
디지다,5,1.0
양호,5,0.6667
보장,5,1.0
송장,5,1.0
영역,5,1.0
부품,5,1.0
전송,5,1.0
마케팅,5,0.4286
설계,5,0.6667
항구,5,0.25
아프리카,5,1.0
불구,5,1.0
해외,5,0.4286
티아,5,0.6667
옥메,5,0.4286
개인,5,0.6667
게다가,5,0.25
진출,5,1.0
동시,5,0.6667
옵션,5,1.0
부분,5,0.4286
오리온,5,0.25
퍼센트,5,0.4286
수확,5,1.0
생산량,5,0.1111
메코,5,0.4286
보이,5,1.0
자동화,5,0.4286
베트남,4,1.0
준비,4,0.6
갖추다,4,1.0
주하,4,1.0
나은,4,0.6
독점,4,1.0
도구,4,1.0
높아지다,4,1.0
구현,4,1.0
주인,4,0.3333
라모,4,0.6
중남미,4,1.0
핸들링,4,1.0
삼포,4,0.1429
업계,4,0.6
루마니아,4,1.0
매장,4,0.3333
광고,4,0.6
생명보험,4,1.0
포장,4,0.3333
늘어나다,4,1.0
철도,4,0.6
스칸디나비아,4,1.0
교량,4,1.0
가능하다,4,0.3333
득점,4,1.0
오스트리아,4,1.0
부서,4,0.3333
반면,4,0.1429
연속,4,0.6
이용,4,0.6
부채,4,1.0
해운,4,1.0
상업,4,1.0
배당금,4,1.0
단말기,4,1.0
자산,4,0.6
환영,4,1.0
상태,4,0.0
주력,4,1.0
단계,4,1.0
자리,4,1.0
프로,4,1.0
아파트,4,0.6
의미,4,0.6
재료,4,1.0
로스,4,1.0
케이블,4,1.0
맞다,4,1.0
텔레콤,4,1.0
가스,4,0.6
수요일,4,1.0
증명,4,1.0
다음,4,1.0
베이징,4,1.0
알려지다,4,0.6
조건,4,0.6
킬로미터,4,0.6
회복,4,1.0
모빌리티,4,1.0
업데이트,4,0.6
바하,4,0.6
적용,4,0.6
교통량,4,0.3333
도달,4,1.0
북부,4,1.0
정도,4,0.6
가을,4,0.1429
대규모,4,0.3333
목재,4,0.3333
패키징,4,0.3333
타우,4,1.0
입찰,4,1.0
중인,4,0.3333
시너지,4,1.0
광물,4,1.0
회로,4,1.0
상회,4,0.6
휴대전화,4,0.6
수익률,4,0.3333
티스,4,0.1429
호주,4,1.0
뒷받침,4,1.0
노스,4,1.0
테스트,4,0.6
성명,4,1.0
기관,4,1.0
코팅,4,0.6
가깝다,4,0.6
내년,4,1.0
여름,4,0.6
카스,4,1.0
스톡,4,0.6
권고,4,1.0
스테인리스강,4,1.0
에어버스,4,0.6
예약,4,0.3333
체코,4,1.0
로드,4,1.0
성능,4,1.0
양해각서,4,1.0
아우,4,0.6
구역,4,1.0
캐나다,4,1.0
의하다,4,0.6
장부,4,1.0
검토,4,0.6
입증,4,1.0
고용,4,-0.1111
비중,4,1.0
카이,4,1.0
메소,4,0.6
태평양,4,1.0
스마트폰,4,0.6
자동차,4,0.3333
사장,4,0.6
매입,4,1.0
스토크,4,1.0
가위,4,1.0
석유,4,0.6
제약,4,0.6
세인트루이스,4,1.0
지위,4,1.0
과정,4,0.6
자랑스럽다,4,1.0
대부분,4,0.1429
영진,3,0.5
아우토텍,3,1.0
연방,3,0.5
임업,3,0.5
단기,3,1.0
크로네,3,1.0
타이,3,1.0
딜러,3,0.2
스테인리스,3,1.0
선별,3,1.0
선불,3,1.0
헌신,3,1.0
훌륭하다,3,1.0
루스,3,1.0
처음,3,0.5
추천,3,1.0
렌털,3,1.0
나타나다,3,0.5
대차대조표,3,1.0
처분,3,1.0
보조금,3,1.0
법인,3,0.5
개념,3,1.0
스키,3,0.5
푸드,3,1.0
후지쯔,3,1.0
소개,3,1.0
교외,3,1.0
빌딩,3,1.0
찾다,3,0.5
해결,3,0.5
유치하다,3,1.0
플렉시블,3,0.2
참여,3,1.0
선보이다,3,1.0
열리다,3,0.0
초과,3,1.0
수행,3,0.2
건물,3,-0.1429
포르툼,3,0.5
재정,3,0.2
레이,3,1.0
애널,3,-0.1429
리스트,3,-0.1429
보트,3,0.2
서명,3,1.0
정원,3,1.0
신용,3,1.0
회전,3,1.0
다루다,3,1.0
자기,3,1.0
없다,3,-0.25
불다,3,1.0
면적,3,1.0
에베레스트,3,1.0
노선,3,-0.25
명령,3,1.0
일자리,3,-0.4
톰슨,3,0.0
상용,3,1.0
절약,3,0.5
신디케이트,3,1.0
그루,3,1.0
모듈,3,1.0
연구,3,1.0
운항,3,-0.1429
수가,3,0.0
매력,3,1.0
들이다,3,0.5
강철,3,0.2
노력,3,1.0
넘다,3,0.0
하루,3,1.0
펀드,3,0.5
강하다,3,0.5
나스닥,3,0.5
응답,3,1.0
후자,3,1.0
남부,3,0.2
노마,3,0.0
주자,3,1.0
야드,3,1.0
대형,3,1.0
맥그리거,3,1.0
커버,3,1.0
전력,3,0.0
자료,3,0.5
머신,3,1.0
부여,3,1.0
갖다,3,1.0
유리하다,3,1.0
이루어지다,3,-0.1429
정비,3,1.0
샬키,3,1.0
중개인,3,1.0
케르,3,0.5
터키,3,1.0
전무,3,1.0
트롬,3,1.0
상장,3,1.0
절차,3,0.5
주택,3,-0.3333
낚시,3,1.0
카리,3,1.0
